mID,mName,mDescription,mGenre,mRating,mYear,mRuntime,mLanguage,mCountry,mDirector,mWriter,mActors,mPrice,mPoster
139,Seraphim Falls,"At the end of the Civil War, a colonel hunts down a man with whom he has a grudge.","Action,Drama,Thriller,War,Western",R,2006,115,English,USA,David Von Ancken,"David Von Ancken,Abby Everett Jaques","Liam Neeson,Pierce Brosnan,Michael Wincott,Xander Berkeley",6.70,https://m.media-amazon.com/images/M/MV5BOGFlMGFkODEtZDM2Mi00NTVkLTlmNDMtZjY2OWU4MzBlMjNkXkEyXkFqcGdeQXVyMTczNjQwOTY@._V1_SX300.jpg
140,Doc Hollywood,A young doctor on his way across the country to a job interview crashes his car in a small town and is sentenced to work for several days at the town hospital.,"Comedy,Drama,Romance",PG-13,1991,104,English,USA,Michael Caton-Jones,Neil B. Shulman t,"Michael J. Fox,Julie Warner,Barnard Hughes,Woody Harrelson",6.20,https://m.media-amazon.com/images/M/MV5BNTcwMjZlZTgtM2VlMC00MDZkLWIzODQtMDRhZjE0N2QzMTgwXkEyXkFqcGdeQXVyMjY3MjUzNDk@._V1_SX300.jpg
141,Monsters vs. Aliens,A woman transformed into a giant after she is struck by a meteorite on her wedding day becomes part of a team of monsters sent in by the U.S. government to defeat an alien mastermind trying to take over Earth.,"Animation,Action,Adventure,Comedy,Family,Sci-Fi,Thriller",PG,2009,94,"English, Portuguese",USA,"Rob Letterman,Conrad Vernon",Maya Forbes t,"Reese Witherspoon,Seth Rogen,Hugh Laurie,Will Arnett",6.40,https://m.media-amazon.com/images/M/MV5BMTY0OTQ3MzE3MV5BMl5BanBnXkFtZTcwMDQyMzMzMg@@._V1_SX300.jpg
142,Omega Doom,"After Earth is taken over by an army of robots, the small number of humans left are forced into hiding. In the nuclear winter, only droids walk the face of the Earth, in fear of the rumored...","Drama,Sci-Fi,Thriller",R,1996,84,English,USA,Albert Pyun,Albert Pyun t,"Rutger Hauer,Shannon Whirry,Norbert Weisser,Tina Cote",4.20,https://m.media-amazon.com/images/M/MV5BNGRhMzYyNTAtYWZmYi00NzQwLWI4OTktYTRhM2Y5OTEwNWIzXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg
143,Super Hero Party Clown,"Eugene Stimpson is a superhero... At least he plays one at birthday parties. When his high school nemesis Todd gets a job playing a rival superhero, Eugene must struggle to keep his ...",Comedy,Not Rated,2010,84,English,USA,Jeremy M. Inman,Jeremy M. Inman,"Randy J. Blair,Zach Sutherland,Shelby Barnes,Adam Sessa",6.70,https://m.media-amazon.com/images/M/MV5BMTcxMTk1MTYzNl5BMl5BanBnXkFtZTcwNjAxNjU4NA@@._V1_SX300.jpg
144,Miraculum,"Sometimes, we're just waiting for a miracle. A nurse who is a Jehovah's Witness, grows fond of the miracle survivor of a plane crash. Two sexagenarians, a bartender and a parking lot ...",Drama,NULL,2014,109,French,Canada,Daniel Grou,"Gabriel Sabourin,Gabriel Sabourin","Robin Aubert,Marilyn Castonguay,Violette Chauveau,Sarianne Cormier",5.90,https://m.media-amazon.com/images/M/MV5BMTcyNjA5Mjg0NV5BMl5BanBnXkFtZTgwODgwMTAyMTE@._V1_SX300.jpg
145,Speed,A young police officer must prevent a bomb exploding aboard a city bus by keeping its speed above 50 mph.,"Action,Adventure,Thriller",R,1994,116,English,USA,Jan de Bont,Graham Yost,"Keanu Reeves,Dennis Hopper,Sandra Bullock,Joe Morton",7.20,https://m.media-amazon.com/images/M/MV5BYjc0MjYyN2EtZGRhMy00NzJiLWI2Y2QtYzhiYTU3NzAxNzg4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
146,Phone Call from a Stranger,"While awaiting a delayed flight, a lawyer who has left his unfaithful wife, befriends three fellow passengers. After the plane crashes and he is among the few to survive, he feels compelled to contact the families of his dead friends.","Drama,Film-Noir",NULL,1952,105,English,USA,Jean Negulesco,Nunnally Johnson t,"Shelley Winters,Gary Merrill,Michael Rennie,Bette Davis",7.00,https://m.media-amazon.com/images/M/MV5BNjU1NjBmODgtMzE2NC00NGM2LWE0MjUtZWYyMGJmYzJjMGYxXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg
147,Eminem AKA,"The story of rap superstar Eminem and his rise to fame, as told through interviews with family and friends.",Documentary,Not Rated,2004,75,English,USA,Mike Corbera,"Mike Corbera,Rick Underhill","Eminem,Anthony 'Treach' Criss,Marc Kempf,Debbie Mathers",6.90,https://m.media-amazon.com/images/M/MV5BMTkzNzUyOTU2NF5BMl5BanBnXkFtZTgwNDg2MDA2MDE@._V1_SX300.jpg
148,Fool's Gold,A new clue to the whereabouts of a lost treasure rekindles a married couple's sense of adventure -- and their estranged romance.,"Action,Adventure,Comedy,Romance,Thriller",PG-13,2008,112,English,USA,Andy Tennant,John Claflin t,"Matthew McConaughey,Kate Hudson,Donald Sutherland,Alexis Dziena",5.70,https://m.media-amazon.com/images/M/MV5BMTg3NTQ2MDY4OF5BMl5BanBnXkFtZTcwOTAzMjU1MQ@@._V1_SX300.jpg
149,Wishmaster 3: Beyond the Gates of Hell,"The evil Djinn is back at again, this time wreaking havoc on the students of Illinois' Baxter University.","Fantasy,Horror,Thriller",R,2001,89,English,"Canada, USA",Chris Angel,"Alex Wright,Peter Atkins t","Jason Connery,A.J. Cook,Tobias Mehler,Louisette Geiss",3.60,https://m.media-amazon.com/images/M/MV5BMjNlZGRlZjAtZmY0Zi00MzkxLWE1ZjktNjAwZWIyNTgxNGQ4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
150,Head Over Heels 2,Alice owns a sex shop and travels to New York to open a new business.,"Comedy,Romance",NULL,2012,115,Portuguese,Brazil,Roberto Santucci,Marcelo Saback t,"Ingrid GuimarÃ£es,Bruno Garcia,Maria Paula,Eriberto LeÃ£o",5.80,https://m.media-amazon.com/images/M/MV5BYmZhNGY3OTgtMDhhMi00MzI3LWE3MGUtNmY2MDc5NjlhNDg0XkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_SX300.jpg
151,Dead On Arrival: The Punk Documentary That Almost Never Was,"An in-depth look at the auspicious production of D.O.A. A Rite of Passage, the documentary funded by High Times founder Tom Forcade in which guerrilla filming methods captured the first (and only) U.S. tour of the notorious Sex Pistols.","Documentary,Music",NULL,2017,115,English,USA,NULL,NULL,"Roberta Bayley,John Holmstrom,Billy Idol,Mary Killen",6.10,https://m.media-amazon.com/images/M/MV5BYjM4YjdmMTktNjE1OC00MDYzLWJjNzItMmI1MmE1YWNhZTZkXkEyXkFqcGdeQXVyNjQwMjYzNjY@._V1_SX300.jpg
152,The Girl from Nagasaki,"A modern day tale that starts with young Madame Butterfly emerging from the ashes of the atomic bomb in Nagasaki. A subtle meshing of reality and fantasy brings to the screen a visual orgy of modern ballet, opera and narrative film-making.","Drama,Music,Romance",R,2013,107,English,"Italy, Germany, Japan, USA","Michel Comte,Ayako Yoshida","Michel Comte,Anne-Marie Mackay,Ayako Yoshida","Mariko Wordell,Edoardo Ponti,Paulina Semionova,Ayako Yoshida",7.00,https://m.media-amazon.com/images/M/MV5BOWE3MGQwMmEtMThhYi00YTQzLWI4MmQtOTYzNDZiMzJiNDgwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjIyMDk1Nzg@._V1_SX300.jpg
153,Blast from the Past,A naive man comes out into the world after spending 35 years in a nuclear fallout shelter.,"Comedy,Drama,Romance,Sci-Fi",PG-13,1999,112,"English, French, German, Latin",USA,Hugh Wilson,Bill Kelly t,"Brendan Fraser,Alicia Silverstone,Christopher Walken,Sissy Spacek",6.60,https://m.media-amazon.com/images/M/MV5BZGFiZjRhMTYtZmMzYS00MGEyLWEzN2EtNWMzMjA3OGI0NGZlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg
154,Five Dolls for an August Moon,"An industrialist invites his colleagues and their wives to relax on his private island so they can exploit the monetary value of one of the guests' revolutionary resin formula, but a killer within the group disrupts the proceedings.","Horror,Mystery,Thriller",Not Rated,1970,82,Italian,Italy,Mario Bava,Mario di Nardo t,"William Berger,Ira von FÃ¼rstenberg,Edwige Fenech,Howard Ross",5.80,https://m.media-amazon.com/images/M/MV5BOTE5ZWM1YzgtMTYyNC00YTQ5LWE2NWYtMjY3ZDM5YzI5YWQxXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg
155,Amityville 3-D,"A reporter moves into the Amityville house in defiance of the supernatural events connected to it, and finds everyone around him besieged by the evil manifestations which are connected to a demonic presence in the basement.",Horror,PG,1983,105,English,"USA, Mexico",Richard Fleischer,David Ambrose,"Tony Roberts,Tess Harper,Robert Joy,Candy Clark",4.20,https://m.media-amazon.com/images/M/MV5BZTU5Y2YwOGUtM2UwMi00NjZiLWJkMTYtZTI0YzdmYTRhZmRkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
156,The Delta Force,"After a plane is hijacked by terrorists, The Delta Force is sent in to resolve the crisis.","Action,Adventure,Drama,Thriller,War",R,1986,125,"English, Arabic, Hebrew, Greek","USA, Israel",Menahem Golan,"James Bruner,Menahem Golan","Chuck Norris,Lee Marvin,Martin Balsam,Joey Bishop",5.60,https://m.media-amazon.com/images/M/MV5BMTM3NzY5MTg3MV5BMl5BanBnXkFtZTcwMjAwODM2NA@@._V1_SX300.jpg
157,BUtterfield 8,"A beautiful New York model and socialite moonlights as a call-girl, but all things change when she falls for a married man and the consequences are tragic.","Drama,Romance",Not Rated,1960,109,English,USA,Daniel Mann,John O'Hara t,"Elizabeth Taylor,Laurence Harvey,Eddie Fisher,Dina Merrill",6.40,https://m.media-amazon.com/images/M/MV5BZjU0NzM4YjAtMTBiMy00MGFlLTk4NzctZjY1YTJiNjdmMTA3XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg
158,Saw VI: Jigsaw Revealed,NULL,"Documentary,Short",NULL,2010,NULL,English,USA,NULL,NULL,NULL,6.40,NULL
159,Messages Deleted,"A screenwriting teacher is forced to live out the plot of a screenplay idea he stole from a student, who now seeks revenge.",Thriller,Not Rated,2010,92,English,Canada,Rob Cowan,Larry Cohen,"Matthew Lillard,Deborah Kara Unger,Gina Holden,Serge Houde",5.00,https://m.media-amazon.com/images/M/MV5BMTc3MDg2MTk3MF5BMl5BanBnXkFtZTcwMDY4ODM4Mg@@._V1_SX300.jpg
160,MÃ¼nchhausen in Afrika,NULL,"Comedy,Musical",NULL,1958,88,German,West Germany,Werner Jacobs,"Johannes Hendrich,Max Nosseck,Hans Rameau t","Peter Alexander,Gunther Philipp,Anita Gutwell,Johanna KÃ¶nig",4.20,
161,Apollo Zero,NULL,"Documentary,History",NULL,2009,60,English,Australia,NULL,NULL,"Buzz Aldrin,Neil Armstrong,Alan Bean,Eugene Cernan",5.00,NULL
162,Admission Free,"Koko and Bimbo visit Betty Boop's penny arcade, Bimbo to flirt with Betty; but his turn at the shooting gallery becomes a hunting trip.","Animation,Short,Comedy,Family",NULL,1932,7,English,USA,"Dave Fleischer,Thomas Johnson",NULL,"Billy Murray,Mae Questel",6.70,https://m.media-amazon.com/images/M/MV5BMjEzNjUxNTY2NV5BMl5BanBnXkFtZTcwOTUyMzEyMQ@@._V1_SX300.jpg
163,The Apple & The Worm,"an apple gets a worm in him and goes on a long journey to her outta him, on the way they find strange people (fruit?) and weird places as they get to know each other.","Animation,Family",NULL,2009,75,"Danish, Swedish","Denmark, Sweden","Anders Morgenthaler,Mads Juult",Methe Bendix t,"Frank Hvam,Sidse Babett Knudsen,Lars HjortshÃ¸j,Michael CarÃ¸e",6.40,https://m.media-amazon.com/images/M/MV5BOTAwMDJiYmMtOTgwMC00ZDc1LTllOGItYmE4MGQ5M2VlNjgyXkEyXkFqcGdeQXVyMDAxNjM0NA@@._V1_SX300.jpg
164,Indie Game: The Movie,"A documentary that follows the journeys of indie game developers as they create games and release those works, and themselves, to the world.","Documentary,Drama",Not Rated,2012,103,"English, French",Canada,"Lisanne Pajot,James Swirsky",NULL,"Jonathan Blow,Brandon Boyer,Renaud BÃ©dard,Anthony Carboni",7.60,https://m.media-amazon.com/images/M/MV5BMjA5NTUzMjQ1MV5BMl5BanBnXkFtZTcwMzc1MzQ4Nw@@._V1_SX300.jpg
165,Teen Witch,"High school misfit Louise, at a loss for romance, discovers magical abilities, but the teenage witch finds that she cannot conjure herself true love, so what?","Comedy,Fantasy,Romance",PG-13,1989,90,English,USA,Dorian Walker,"Robin Menken,Vernon Zimmerman","Robyn Lively,Dan Gauthier,Joshua John Miller,Caren Kaye",6.10,https://m.media-amazon.com/images/M/MV5BZGY2YzFjOWEtMmZiMy00MjIyLTk1MTEtZDZmNmQxN2JjMjA3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
166,Macbeth in Manhattan,"A beloved leader; a scheming, jealous second-in-command; an ambitious wife pushed to mental collapse; a trio of gossiping harpies - the characters in a famous tragedy or the real-life cast of a Broadway play?",Drama,R,1999,97,English,USA,Greg Lombardo,"Joe Gagen,Greg Lombardo,William Shakespeare t","Gloria Reuben,David Lansbury,Nick Gregory,John Glover",5.30,https://m.media-amazon.com/images/M/MV5BN2MxYzJjOTUtYTFhYi00NDA1LWJlZGUtYjgzNGZmZGM2MWFiXkEyXkFqcGdeQXVyMjI3MDczMjI@._V1_SX300.jpg
167,Pleasure at Her Majesty's,"Pleasure At Her Majesty's (1976) The very first show in what came to be called the ""Secret Policeman's Ball"" series took place over three late nights in April 1976 at Her Majesty's Theatre ...","Documentary,Comedy",Not Rated,1976,85,English,UK,"Roger Graef,Jonathan Miller","Alan Bennett,Graham Chapman,Peter Cook,Michael Frayn,Barry Humphries,Eric Idle,Neil Innes,Terry Jones,Jonathan Miller,Bill Oddie,Michael Palin","Alan Bennett,John Bird,Eleanor Bron,Tim Brooke-Taylor",7.40,https://m.media-amazon.com/images/M/MV5BMTQ3NTAwNzkxNV5BMl5BanBnXkFtZTcwNzg3ODEyMQ@@._V1_SX300.jpg
168,DiÃªn BiÃªn PhÃº,"An American reporter finds himself in the middle of the 57-day battle of Dien Bien Phu in Vietnam between the French army and the Vietminh, which finally resulted in the defeat and ...","Drama,War",NULL,1992,140,French,France,Pierre Schoendoerffer,Pierre Schoendoerffer,"Donald Pleasence,Patrick Catalifo,Jean-FranÃ§ois Balmer,Ludmila MikaÃ«l",6.30,
169,Dodgeball: A True Underdog Story - Deleted Scenes,Deleted scenes from 'Dodgeball: A True Underdog Story'.,"Action,Comedy",PG-13,2004,88,English,USA,Rawson Marshall Thurber,Rawson Marshall Thurber,"Jamal Duff,Julie Gonzalo,Justin Long,Joel David Moore",7.50,https://m.media-amazon.com/images/M/MV5BMTIwMzE2MjM4MV5BMl5BanBnXkFtZTYwNjA1OTY3._V1_SX300.jpg
170,Our Sunhi,"A young woman returning to her old school to visit her professor also runs into her old boyfriend and her senior, each of whom has a past with her.","Comedy,Drama,Romance",NULL,2013,88,Korean,South Korea,Sang-soo Hong,Sang-soo Hong,"Jung Yu-mi,Lee Sun-kyun,Jae-yeong Jeong,Sang-Jung Kim",6.80,https://m.media-amazon.com/images/M/MV5BNmJmY2I2ZWQtNWE2NC00NWVjLWI5MjUtY2RjZTM1Y2NjM2FmXkEyXkFqcGdeQXVyMjI2MDQxODA@._V1_SX300.jpg
171,On the Marriage Broker Joke as Cited by Sigmund Freud in Wit and Its Relation to the Unconscious or Can the Avant-Garde Artist Be Wholed?,"An experimental film in which two panelists, dressed up like pandas, discuss the sale of plums.",Short,NULL,1977,18,English,USA,Owen Land,NULL,NULL,5.70,https://m.media-amazon.com/images/M/MV5BM2QxNTQ2MGUtMjI3Yy00YzhmLWFlYmQtMjcyZDQ0OGE5ODllXkEyXkFqcGdeQXVyMDM0MzU2NA@@._V1_SX300.jpg
172,State and Main: Cast and Crew Interviews,NULL,"Documentary,Short",NULL,2001,13,English,USA,NULL,NULL,"Alec Baldwin,Charles Durning,Philip Seymour Hoffman,William H. Macy",4.40,NULL
173,Screamers: The Hunting,"A group of humans arrive on Sirius 6-B to investigate an SOS signal sent out from the planet, which has been supposedly deserted since the destruction of the man-made weapons known as ""...","Action,Horror,Sci-Fi,Thriller",R,2009,95,English,Canada,Sheldon Wilson,Philip K. Dick t,"Gina Holden,Jana Pallaske,Lance Henriksen,Greg Bryk",4.70,https://m.media-amazon.com/images/M/MV5BNGI2YzVlMGEtNTgyMi00NTBiLWIxZGEtMzJmNjMzNTRmZmQ0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
174,Les hautes solitudes,"Biographical film about Jean Seberg, loosely based on Nietzsche's The Antichrist.","Documentary,Biography",NULL,1974,80,None,France,Philippe Garrel,Philippe Garrel,"Jean Seberg,Nico,Tina Aumont,Laurent Terzieff",7.00,https://m.media-amazon.com/images/M/MV5BZmZlMGY1MzQtNmM5Ni00YWVmLTg1NGMtMmY1ZWYyMDQ3YjFiXkEyXkFqcGdeQXVyNDgyMTg5ODc@._V1_SX300.jpg
175,When Ladies Meet,"A successful novelist falls in love with her married publisher, to the consternation of her boyfriend, who arranges for her to meet the publisher's wife.","Comedy,Drama,Romance",Passed,1941,105,English,USA,Robert Z. Leonard,S.K. Lauren t,"Joan Crawford,Robert Taylor,Greer Garson,Herbert Marshall",6.50,https://m.media-amazon.com/images/M/MV5BNTZlNjk1MmYtYmQ4Ny00NjNiLTkwYzAtZGNmNDMxZTFkODk1XkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_SX300.jpg
176,Looking for Comedy in the Muslim World,"To improve its relations with Muslim countries, the United States government sends comedian Albert Brooks to south Asia to write a report on what makes followers of Islam laugh.",Comedy,PG-13,2005,98,"Arabic, Hindi, English",USA,Albert Brooks,Albert Brooks,"Penny Marshall,Victoria Burrows,Paul Jerome,Albert Brooks",5.40,https://m.media-amazon.com/images/M/MV5BMTg0MjM2NzI2OF5BMl5BanBnXkFtZTcwOTgwODYzMQ@@._V1_SX300.jpg
177,Gangsters Gamblers Geezers,"Gangsters, Gamblers and Geezers is story about two lovable losers, Krish and Lee who get fired from their call centre jobs. After spending all their money in a crazy month of partying, they...",Comedy,NULL,2016,103,English,UK,"Amar Adatia,Peter Peralta","Amar Adatia,Christine Edwards,Peter Peralta","Rahul Kohli,Jessica-Jane Stafford,Kiell Smith-Bynoe,Richie Campbell",5.00,https://m.media-amazon.com/images/M/MV5BMzBjN2I2YzgtMmRmYi00YTRmLWEwZDYtOGZjMjY1YWU4NWZlXkEyXkFqcGdeQXVyMTQyMzQ2Njg@._V1_SX300.jpg
178,Scorpions: Live at Wacken Open Air 2006 - A Night to Remember: A Journey Through Time,NULL,Music,NULL,2007,139,"English, German",Germany,Guido Weiss,NULL,"Scorpions,Klaus Meine,Rudolf Schenker,Matthias Jabs",8.20,https://m.media-amazon.com/images/M/MV5BMmQ1MWI2ZDItMTFmOS00NWUyLWIwMzMtOGFhMzY3OWYyMmM0XkEyXkFqcGdeQXVyMzc1ODQ2ODU@._V1_SX300.jpg
179,I Do: How to Get Married and Stay Single,"Luis enjoys the liberty of being single. He has a smell for perfumes and thus money. However, his 5 sisters and mom believe that at 43, he should be looking for a wife, not one-night stands. They find candi/dates. He hires a ""fiancÃ©e"".","Comedy,Romance",R,2006,90,French,France,Ãric Lartigau,"Alain Chabat t,Philippe Mechelen,Laurent Tirard,GrÃ©goire Vigneron,Laurent Zeitoun","Alain Chabat,Charlotte Gainsbourg,Bernadette Lafont,Wladimir Yordanoff",6.70,https://m.media-amazon.com/images/M/MV5BMTg4MzM1MjI5NF5BMl5BanBnXkFtZTcwMDE3NzY3MQ@@._V1_SX300.jpg
180,Broken English: Three Songs by Marianne Faithfull,NULL,"Short,Music",NULL,1979,12,English,UK,Derek Jarman,NULL,Marianne Faithfull,6.70,NULL
181,The Man Who Betrayed the Mafia,NULL,"Drama,Thriller",NULL,1967,90,French,"France, Italy",Charles GÃ©rard,Charles GÃ©rard t,"Robert Hossein,Claude Mann,Claudine Coster,Robert Manuel",4.00,https://m.media-amazon.com/images/M/MV5BNWYxMzcwZDUtMGQzMy00NDk3LWI0NWItY2YwMTI1NTJlY2ExXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg
182,America: Imagine the World Without Her,"A story that questions the shaming of the US through revisionist history, lies and omissions by educational institutions, political organizations, Alinsky, Barack Obama, Hillary Clinton and other progressives to destroy America.",Documentary,PG-13,2014,105,English,USA,"Dinesh D'Souza,John Sullivan","Dinesh D'Souza,John Sullivan,Bruce Schooley","Dinesh D'Souza,Barack Obama,Josh Bonzie,Rich Bentz",5.40,https://m.media-amazon.com/images/M/MV5BMjM0MjgyOTQ4NF5BMl5BanBnXkFtZTgwOTQ1NzQ3MTE@._V1_SX300.jpg
183,Three seasons of love,NULL,Drama,NULL,2019,NULL,Russian,Russia,Stepan Puchinyan,Nikolai Sumenov,"Aglaya Shilovskaya,Yuriy Chursin,Ivan Kolesnikov,Boris Romanov",8.80,NULL
184,Slipstream Engine,NULL,"Animation,Short",NULL,2011,2,English,USA,Dax Norman,NULL,NULL,4.40,NULL
185,Stuck in Love.,"An acclaimed writer, his ex-wife, and their teenaged children come to terms with the complexities of love in all its forms over the course of one tumultuous year.","Comedy,Drama,Romance",R,2012,97,English,USA,Josh Boone,"Josh Boone,Rick Bitzelberger t","Greg Kinnear,Jennifer Connelly,Lily Collins,Nat Wolff",7.20,https://m.media-amazon.com/images/M/MV5BMTU1NzI5MDU3OV5BMl5BanBnXkFtZTcwNTE0NDMzOQ@@._V1_SX300.jpg
186,Cain and Mabel,A talented boxer and a gifted dancer hope to increase their waning popularity by inventing a fictitious love affair for the benefit of the tabloids.,"Comedy,Musical,Romance",Passed,1936,90,English,USA,Lloyd Bacon,Laird Doyle t,"Marion Davies,Clark Gable,Allen Jenkins,Roscoe Karns",6.50,https://m.media-amazon.com/images/M/MV5BZmE3NDY5NGUtOGUyYi00NjY2LTg0ZGMtNDc2MWZhODBmZGRlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg
187,Not Far from Heaven 3,NULL,Adult,NULL,2004,NULL,English,USA,NULL,NULL,"Buck Adams,Benjamin Brat,Nikita Denise,Natasha Dolling",6.60,NULL
188,Panama Canal: The Eighth Wonder of the World,NULL,Documentary,NULL,1998,NULL,English,"USA, UK",Eugenie Vink,Eugenie Vink,"Dennis Quaid,R.M. Koster,Patrick Droulers,Philippe Calon",5.80,NULL
189,Down and Out with the Dolls,"The raunchy, spunky tale of the rise and fall of an all-girl rock band from Portland, Oregon.","Comedy,Music",R,2001,88,English,USA,Kurt Voss,Nalini Cheriel t,"ZoÃ« Poledouris,Kinnie Starr,Nicole Barrett,Melody Moore",6.60,https://m.media-amazon.com/images/M/MV5BYzkxNGE5YWYtY2NlZi00MzE5LWJjOTYtZDNmYzVlOGUzODkyXkEyXkFqcGdeQXVyMTY0ODQ1NzM@._V1_SX300.jpg
190,Slap Shot 2: Breaking the Ice,"25 years after the events of the first film, the Charlestown Chiefs are still languishing in Pennsylvania.","Comedy,Sport",R,2002,96,English,USA,Steve Boyum,"Broderick Miller,Nancy Dowd t","Stephen Baldwin,Jessica Steen,Gary Busey,David Hemmings",4.40,https://m.media-amazon.com/images/M/MV5BOTg1NjYwMDcyM15BMl5BanBnXkFtZTcwNjE1NDMyMQ@@._V1_SX300.jpg
191,Ellie Parker,"A hilarious comic portrait of a young woman's struggle for integrity, happiness and a Hollywood acting career.","Comedy,Drama",R,2005,95,English,USA,Scott Coffey,Scott Coffey,"Naomi Watts,Jennifer Syme,Greg Freitas,Gaye Pope",5.70,https://m.media-amazon.com/images/M/MV5BMzg5YTFhMzAtMTdkOC00ZmVkLTk2NzEtMTkxYTY5OThkODZhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
192,Identity Thief,Mild mannered businessman Sandy Patterson travels from Denver to Florida to confront the deceptively harmless looking woman who has been living it up after stealing Sandy's identity.,"Adventure,Comedy,Crime,Drama",R,2013,111,"English, Spanish",USA,Seth Gordon,Craig Mazin t,"Jason Bateman,Melissa McCarthy,Jon Favreau,Amanda Peet",5.70,https://m.media-amazon.com/images/M/MV5BMTY3NzM5MTk2Nl5BMl5BanBnXkFtZTcwMDQ4MjQ3OA@@._V1_SX300.jpg
193,Jennifer 8,"John Berlin, a big-city cop from Los Angeles, moves to a small-town police force and immediately finds himself investigating a murder. Using theories rejected by his colleagues John meets a...","Crime,Drama,Mystery,Thriller",R,1992,124,English,"Canada, USA, UK",Bruce Robinson,Bruce Robinson,"Andy Garcia,Lance Henriksen,Uma Thurman,Graham Beckel",6.30,https://m.media-amazon.com/images/M/MV5BMDNmNDAxYzgtODJjNS00YTRmLTkxOTAtNTliNzdjOWQ2NmI1XkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg
194,8MM 2,"An American diplomat and his fiancÃ©e venture into the sordid underworld of sex and pornography in Budapest, Hungary to find out who is blackmailing them with a porno video taken of them with a prostitute.","Mystery,Thriller",R,2005,106,"English, Hungarian","USA, Hungary",J.S. Cardone,Robert Sullivan t,"Johnathon Schaech,Lori Heuring,Bruce Davison,Julie Benz",4.50,https://m.media-amazon.com/images/M/MV5BMjA4OTU5OTE0MF5BMl5BanBnXkFtZTgwNjYyNjAwNzE@._V1_SX300.jpg
195,Tideland,"Because of the actions of her irresponsible parents, a young girl is left alone on a decrepit country estate and survives inside her fantastic imagination.","Drama,Fantasy,Horror",R,2005,120,English,"UK, Canada",Terry Gilliam,Tony Grisoni t,"Jodelle Ferland,Janet McTeer,Brendan Fletcher,Jennifer Tilly",6.50,https://m.media-amazon.com/images/M/MV5BMTMwNDQ0Mjk5N15BMl5BanBnXkFtZTcwNjQzNjczMQ@@._V1_SX300.jpg
196,Naked Ambition: An R Rated Look at an X Rated Industry,"Noted Celebrity Photographer, Michael Grecco, sets out to capture the essence of the AVN Awards and Convention where the best in American Pornography is displayed, celebrated and honored.",Documentary,R,2009,81,English,USA,Michael Grecco,Charles Holland,"Michael Grecco,Tera Patrick,Evan Seinfeld,Simon Karmarkar",4.90,https://m.media-amazon.com/images/M/MV5BMTQzNDk5NDExMl5BMl5BanBnXkFtZTcwNjAxMTg0Mg@@._V1_SX300.jpg
197,Linsanity,"The life story of basketball sensation, Jeremy Lin.","Documentary,Biography,Sport",PG,2013,89,"English, Mandarin",USA,Evan Jackson Leong,Aaron Strongoni t,"Daniel Dae Kim,Ming Yao,Jeremy Lin,Pablo Torre",7.30,https://m.media-amazon.com/images/M/MV5BMjAxNzU4ODM3Nl5BMl5BanBnXkFtZTgwNTIwMTEyMDE@._V1_SX300.jpg
198,Phffft,"While pursing new companions, a former married couple keep running into one another all over town.","Comedy,Romance",Approved,1954,88,"English, French",USA,Mark Robson,George Axelrod t,"Judy Holliday,Jack Lemmon,Jack Carson,Kim Novak",6.60,https://m.media-amazon.com/images/M/MV5BMTFhOWMzOWYtYzYzYS00ZmNhLThlOTItNmE4NzQ5OTdmZTU3XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg
199,Killer McCoy,"Following a mishap in the ring, hard-nosed lightweight Tommy ""Killer"" McCoy gets mixed-up with a big-time gambler and falls for his educated daughter, Sheila, against her father's better wishes.",Drama,Approved,1947,104,English,USA,Roy Rowland,"Frederick Hazlitt Brennan,George Bruce t","Mickey Rooney,Brian Donlevy,Ann Blyth,James Dunn",6.50,https://m.media-amazon.com/images/M/MV5BMmYxYTg5ZjAtYmMwYS00NGQzLTljOWItZDg4YjNmZGI3NjY0XkEyXkFqcGdeQXVyMzA5ODc1NDU@._V1_SX300.jpg
