mID,mName,mDescription,mGenre,mRating,mYear,mRuntime,mLanguage,mCountry,mDirector,mWriter,mActors,mPrice
338,Supporting Characters,Two New York film editors balance their personal relationships while reworking a movie in crisis.,Comedy,Not Rated,2012,87,"English, Spanish",USA,Daniel Schechter,"Daniel Schechter,Tarik Lowe","Alex Karpovsky,Tarik Lowe,Arielle Kebbel,Sophia Takal",6.3
349,Don't Make Waves,Carlo goes on a vacation to Southern California where he quickly becomes immersed in the easy-going local culture while getting entangled in two beach-side romances.,Comedy,Approved,1967,97,English,USA,Alexander Mackendrick,Ira Wallach t,"Tony Curtis,Claudia Cardinale,Robert Webber,Joanna Barnes",6
358,Ace Ventura: Pet Detective,A goofy detective specializing in animals goes in search of the missing mascot of the Miami Dolphins.,Comedy,PG-13,1994,86,English,USA,Tom Shadyac,Jack Bernstein t,"Jim Carrey,Courteney Cox,Sean Young,Tone Loc",6.9
359,"Rock, Paper, Scissors: The Way of the Tosser","This hilarious genre-bending comedy follows Gary Brewer, along with girlfriend Holly Brewer (no relation), and best friend Trevor Morehouse as Gary quests to reign supreme at the 2006 Rock, Paper, Scissors World Championships.",Comedy,,2007,85,English,Canada,"Tim Doiron,April Mullen","Tim Doiron t,Tim Doiron","Tim Doiron,April Mullen,Ryan Tilley,Peter Pasyk",4.6
385,Ricky Gervais Live 3: Fame,The third part of Ricky's themed live stand-up shows.,Comedy,Not Rated,2007,79,English,UK,Dominic Brigstocke,Ricky Gervais,Ricky Gervais,7.8
392,Pekka ja Pätkä Suezilla,,Comedy,,1958,74,Finnish,Finland,Armand Lohikoski,Armand Lohikoski,"Esa Pakarinen,Masa Niemi,Siiri Angerkoski,Assi Nortia",5.5
397,You Don't Mess with the Zohan,An Israeli Special Forces Soldier fakes his death so he can re-emerge in New York City as a hair stylist.,Comedy,PG-13,2008,113,"English, Hebrew",USA,Dennis Dugan,"Adam Sandler,Robert Smigel,Judd Apatow","Adam Sandler,John Turturro,Emmanuelle Chriqui,Nick Swardson",5.5
404,Five on the Black Hand Side,"In contrast to most of the violence-laden ""blaxploitation"" films of the period, this low-budget effort eschews exploitation for humanity and domestic drama. Leonard Jackson plays a barber ...",Comedy,PG,1973,96,English,USA,Oscar Williams,Charlie L. Russell t,"Godfrey Cambridge,Clarice Taylor,Leonard Jackson,Virginia Capers",6.4
476,All at Sea,A seasick sea Captain commands an amusement pier despite local opposition.,Comedy,Unrated,1957,87,English,UK,Charles Frend,T.E.B. Clarke t,"Alec Guinness,Harry Locke,Frederick Piper,Fred Griffiths",6.8
481,Rockabilly Vampire,"A woman obsessed with Elvis Presley is having problems with her job, her landlord and her landlord's scummy son. One day she meets a man who looks and dresses just like Elvis. She ...",Comedy,,1996,90,English,USA,Lee Bennett Sobel,"Paul Gambino,Lee Bennett Sobel","Stephen Blackehart,Paul Stevenson,Margaret Lancaster,Valentine Miele",4.6
509,Still Waiting...,Dennis is still waiting to progress to district manager from the restaurant where he works.,Comedy,R,2009,88,English,USA,Jeff Balis,"Rob McKittrick,Rob McKittrick t","Adam Carolla,John Michael Higgins,Rob Benedict,Steve Howey",4.9
527,The Beauty Prize,,Comedy,,1924,,English,USA,Lloyd Ingraham,"Winifred Dunn,Nina Wilcox Putnam t","Viola Dana,Pat O'Malley,Eddie Phillips,Eunice Murdock Moore",6.6
551,Rude Awakening!,"While taking a nap in preparation for a long night on the town, pretty Rebecca is chloroformed, forced to strip and then bound and gagged by a nasty intruder.",Comedy,,2003,110,English,USA,Ken Scott,,"Brooke Harris,Ken Scott",8.8
559,Tomcats,"At the wedding of a friend, the remaining bachelors bet on staying single. 7 years later, one of the 2 remaining loses $51000 in Vegas. He must get the other guy married to cash in and pay his debt or die. A cute woman helps him.",Comedy,R,2001,95,English,USA,Gregory Poirier,Gregory Poirier,"Jerry O'Connell,Shannon Elizabeth,Jake Busey,Horatio Sanz",5.4
573,Beyond Therapy,A few unusual characters and their unconventional therapists cross paths resulting in hilarious interactions.,Comedy,R,1987,93,English,USA,Robert Altman,Christopher Durang t,"Julie Hagerty,Jeff Goldblum,Glenda Jackson,Tom Conti",4.9
574,Miss Firecracker,"Carnelle wants to escape her dreary life, so she enters a local beauty contest, much to everyone's dismay.",Comedy,PG,1989,102,English,USA,Thomas Schlamme,Beth Henley t,"Holly Hunter,Mary Steenburgen,Tim Robbins,Alfre Woodard",6
691,Nom de code: Rose,"Margot, a mother-of-three who works as a secretary at an Import's company is summoned to work as a secret agent with the codename Rose forming a funny duo with the handsome spy FX.",Comedy,,2012,90,French,France,Arnauld Mercadier,"Marie Lefevre,Arnauld Mercadier,Frédérique Moreau,Patrick Renault","Claire Keim,Lannick Gautry,Serge Hazanavicius,Florence Pernel",6.1
698,Body Fat Index of Love,"Stigu and Ella have a sex relationship. Stigu, secretly in love, settles for what he can get because Ella wants nothing more. Until they find themselves in a same work project - designing ...",Comedy,,2012,98,Finnish,Finland,Mikko Kuparinen,"Laura Immonen,Hannamaija Matila","Jarkko Niemi,Kristo Salminen,Mikko Nousiainen,Max Bremer",5.5
479,Hamsayeha (the Neighbours),,"Comedy, Family",,2001–2002,,Persian,Iran,,,"Kamand Amirsoleimani,Amin Hayayee,Ali Nassirian,Mohamad Reza Sharifinia",5.6
84,Jönssonligan & den svarta diamanten,Criminal genius is incarcerated in a mental institution but his criminal plans are executed by his criminal gang and his attending doctor.,"Comedy,Crime",,1992,104,Swedish,Sweden,Hans Åke Gabrielsson,Hans Åke Gabrielsson t,"Ulf Brunnberg,Björn Gustafson,Peter Haber,Birgitta Andersson",5.5
362,True Confession,"A lawyer defends his wife, a pathological liar, in a murder trial.","Comedy,Crime",Approved,1937,85,English,USA,Wesley Ruggles,Claude Binyon t,"Carole Lombard,Fred MacMurray,John Barrymore,Una Merkel",6.8
510,Take the Money and Run,"The life and times of Virgil Starkwell, inept bank robber.","Comedy,Crime",PG,1969,85,"English, Yiddish",USA,Woody Allen,Woody Allen t,"Woody Allen,Janet Margolin,Marcel Hillaire,Jacquelyn Hyde",7.3
677,Restless Natives,Two Scottish friends become local folk heroes and tourist attractions when they start holding up tour buses with novelty items.,"Comedy,Crime",PG,1985,90,English,UK,Michael Hoffman,Ninian Dunnett,"Vincent Friell,Joe Mullaney,Teri Lally,Ned Beatty",7.1
154,Crazy in Alabama,An abused wife heads to California to become a movie star while her nephew back in Alabama has to deal with a racially-motivated murder involving a corrupt sheriff.,"Comedy,Crime,Drama",PG-13,1999,111,English,"Germany, USA",Antonio Banderas,Mark Childress t,"Melanie Griffith,David Morse,Lucas Black,Cathy Moriarty",6.2
269,The Swedish Moment,,"Comedy,Crime,Drama",,2014,75,Finnish,Finland,"Hannu-Pekka Björkman,Minna Haapkylä,Teemu Kaskinen,Elina Knihtilä,Tommi Korpela,Mark Lwoff",Teemu Kaskinen,"Tommi Korpela,Minna Haapkylä,Elina Knihtilä,Hannu-Pekka Björkman",5.6
520,Lucky Lady,A trio of rum-runners during prohibition in the 1930s engage in a menage-a-trois after business hours.,"Comedy,Crime,Drama",PG,1975,118,"English, Spanish, French",USA,Stanley Donen,"Willard Huyck,Gloria Katz","Gene Hackman,Liza Minnelli,Burt Reynolds,Geoffrey Lewis",5.3
494,Going Ape!,"When his father - who owned a circus - dies, Foster inherits 5 million dollars - and 3 orangutans. However there's a condition connected to the money: if he gives away the orangutans or ...","Comedy,Crime,Family,Romance",PG,1981,87,English,"USA, UK",Jeremy Joe Kronsberg,Jeremy Joe Kronsberg,"Tony Danza,Jessica Walter,Stacey Nelkin,Danny DeVito",3.7
451,Revenge of the Pink Panther,"To prove that he still is strong and powerful, Philippe Douvier decides to kill Clouseau. Once news of his ""death"" has been announced, Clouseau tries to take advantage of it and goes undercover with Cato to find out who tried to kill him.","Comedy,Crime,Mystery",PG,1978,99,"English, Latin","UK, USA",Blake Edwards,Frank Waldman t,"Peter Sellers,Herbert Lom,Burt Kwouk,Dyan Cannon",6.7
452,The Case of the Lucky Legs,"A con man who stages phony ""lucky legs"" beauty contests and leaves town with the money is found with a surgical knife in his heart by Mason.","Comedy,Crime,Mystery",Passed,1935,77,English,USA,Archie Mayo,Brown Holmes t,"Warren William,Genevieve Tobin,Patricia Ellis,Lyle Talbot",6.5
483,Satan Met a Lady,"A double-crossing woman, the two-timing P.I. she hired, the corpulent empress of crime, and a gentleman thief are all after a legendary priceless eighth-century ram's horn.","Comedy,Crime,Mystery",Passed,1936,74,English,USA,William Dieterle,Brown Holmes t,"Bette Davis,Warren William,Alison Skipworth,Arthur Treacher",6
139,Greenfingers,A prison inmate with a green thumb goes on to compete in a national gardening competition. Based on a true story.,"Comedy,Crime,Romance",R,2000,91,English,"UK, USA",Joel Hershman,Joel Hershman,"Clive Owen,Helen Mirren,David Kelly,Warren Clarke",6.8
26,Taxi Blues,A comedic love/hate relationship develops between a dour taxi driver and a hapless aspiring musician after the latter stiffs his cab fare.,"Comedy,Drama",,1990,110,Russian,"Soviet Union, France",Pavel Lungin,Pavel Lungin,"Pyotr Mamonov,Pyotr Zaychenko,Vladimir Kashpur,Natalya Kolyakanova",7.4
40,Elektra Luxx,Life for porn actress Elektra Luxx gets turned upside down when she finds out she's pregnant.,"Comedy,Drama",R,2010,100,English,USA,Sebastian Gutierrez,"Sebastian Gutierrez,Sebastian Gutierrez t","Joseph Gordon-Levitt,Carla Gugino,Ermahn Ospina,Jake Hames",5.1
88,Juno and the Paycock,"During the Irish Civil War in 1922, a family earns a big inheritance. They start leading a rich life, forgetting what the most important VALUES (are.","Comedy,Drama",Not Rated,1930,85,English,UK,Alfred Hitchcock,Sean O\'Casey t,"Barry Fitzgerald,Maire O\'Neill,Edward Chapman,Sidney Morgan",4.8
121,Deadly Advice,"Advised by the ghosts of five notable British killers, small town librarian Jodie (Jane Horrocks) sets out to murder her domineering mother, Iris (Brenda Fricker), and anyone else who stands in her way to happiness.","Comedy,Drama",R,1994,91,English,UK,Mandie Fletcher,Glenn Chandler,"Jane Horrocks,Brenda Fricker,Imelda Staunton,Jonathan Pryce",6.1
227,Ellie Parker,"A hilarious comic portrait of a young woman's struggle for integrity, happiness and a Hollywood acting career.","Comedy,Drama",R,2005,95,English,USA,Scott Coffey,Scott Coffey,"Naomi Watts,Jennifer Syme,Greg Freitas,Gaye Pope",5.6
302,O'Horten,A drama focused on a life-changing moment in 67-year-old train engineer Odd Horten's existence: the evening of his retirement.,"Comedy,Drama",PG-13,2007,90,Norwegian,"Norway, Germany, France, Denmark",Bent Hamer,"Bent Hamer,Harold Manning t","Baard Owe,Espen Skjønberg,Ghita Nørby,Henny Moan",6.7
307,Marie and Bruce,"Based on a play by Wallace Shawn, the film is a dark but comical glimpse at one day in the breakdown of a marriage.","Comedy,Drama",R,2004,90,English,USA,Tom Cairns,Wallace Shawn t,"Julianne Moore,Matthew Broderick,Bob Balaban,Brian McConnachie",4.6
343,Goodbye World,"When a mysterious terrorist attack causes chaos in the cities, a group of friends take refuge in their countryside cabin. But the challenges of living in a post-apocalyptic world soon take their toll on relationships within the group.","Comedy,Drama",Not Rated,2013,99,English,USA,Denis Henry Hennelly,"Sarah Adina Smith,Denis Henry Hennelly","Adrian Grenier,Kid Cudi,Mckenna Grace,Kerry Bishé",5.5
345,Lovers of Hate,A dark comedy which follows two brothers who are in love with the same woman.,"Comedy,Drama",,2010,93,English,USA,Bryan Poyser,Bryan Poyser t,"Chris Doubek,Heather Kafka,Alex Karpovsky,Zach Green",6.4
400,Bitter Sweetheart,"Lina, a girl in her early teens discovers herself and the people around her.","Comedy,Drama",,2007,90,Swedish,Sweden,Hella Joof,"Erik Ahrnbom,Emma Hamberg","Mylaine Hedreul,Rickard Roxvall,Viktor Axelsson,Alice Kastrup-Möller",5.3
411,Year of the Dog,A secretary's life changes in unexpected ways after her dog dies.,"Comedy,Drama",PG-13,2007,97,English,USA,Mike White,Mike White,"Molly Shannon,Laura Dern,Regina King,Tom McCarthy",6
421,Guarding Tess,"A former U.S. First Lady wants a particular Secret Service agent to head her bodyguard detail, even though he can't stand her.","Comedy,Drama",PG-13,1994,96,English,USA,Hugh Wilson,"Hugh Wilson,PJ Torokvei","Shirley MacLaine,Nicolas Cage,Austin Pendleton,Edward Albert",6.2
434,Monsieur Lazhar,"At a Montréal public grade school, an Algerian immigrant is hired to replace a popular teacher who committed suicide in her classroom. While helping his students deal with their grief, his own recent loss is revealed.","Comedy,Drama",PG-13,2011,95,"French, English, Arabic",Canada,Philippe Falardeau,Philippe Falardeau t,"Mohamed Fellag,Sophie Nélisse,Émilien Néron,Marie-Ève Beauregard",7.5
474,The Amazing Catfish,"Claudia, a lonely young woman, works in a supermarket. One night, she ends up in the hospital with a severe case of appendicitis. There, she meets Martha, the woman resting in the bed next ...","Comedy,Drama",Not Rated,2013,89,Spanish,"Mexico, France",Claudia Sainte-Luce,Claudia Sainte-Luce,"Lisa Owen,Ximena Ayala,Sonia Franco,Wendy Guillén",7
513,Hospital Playlist,Hospital Playlist tells the story of five doctors who have been friends since they entered medical school in 1999.,"Comedy,Drama",,2020–2021,84,Korean,South Korea,,,"Jo Jung-Suk,Yoo Yeon-Seok,Jung Kyung-Ho,Dae-Myung Kim",8.7
549,Hanging Up,"A trio of sisters bond over their ambivalence toward the approaching death of their curmudgeonly father, to whom none of them was particularly close.","Comedy,Drama",PG-13,2000,94,English,"Germany, USA",Diane Keaton,Delia Ephron t,"Meg Ryan,Diane Keaton,Lisa Kudrow,Walter Matthau",4.9
628,Ex-Lady,"Although free spirit Helen Bauer does not believe in marriage, she consents to marry Don, but his infidelities cause her to also take on a lover.","Comedy,Drama",Unrated,1933,67,"English, Italian, Spanish",USA,Robert Florey,Edith Fitzgerald t,"Bette Davis,Gene Raymond,Frank McHugh,Monroe Owsley",6.6
636,Three Quarter Moon,6-year old Hayat turns up in Hartmut's taxi without a word of German. All attempts to get rid of her fail. So he resigns himself to helping her find her mother. But is he helping her or she...,"Comedy,Drama",,2011,94,"German, Turkish",Germany,Christian Zübert,Christian Zübert t,"Elmar Wepper,Mercan-Fatima Türköglu,Ivan Anderson,Katja Rupé",7
686,Scorchers,"On Splendid's wedding night, she won't allow her husband to consummate the marriage. Meanwhile, her armed cousin is looking for the hooker, who slept with her husband.","Comedy,Drama",R,1991,81,English,"UK, USA",David Beaird,David Beaird,"Faye Dunaway,Denholm Elliott,James Earl Jones,Emily Lloyd",6
699,Eternally Yours,"Anita Halstead, swept off her feet by magician Arturo, finds the results less than magical.","Comedy,Drama",Approved,1939,95,English,USA,Tay Garnett,Gene Towne t,"Loretta Young,David Niven,Hugh Herbert,Billie Burke",5.8
24,The Spiritual Boxer,"A con artist uses Kung Fu to swindle villagers for money by pretending to be possessed by angry gods. However, when the villagers are later threatened by bandits he must use the same skills for good.","Comedy,Drama,Action",Not Rated,1975,103,Mandarin,Hong Kong,Chia-Liang Liu,Kuang Ni,"Yue Wong,Chen-Chi Lin,Lung Ti,Kuan Tai Chen",6.7
112,Our Little Girl,Don Middleton is so caught up with his work he neglects his wife Elsa. Lonely Elsa begins to spend more time with Don's best friend and they become attracted to one another. Don and Elsa ...,"Comedy,Drama,Family,Musical,Romance",Approved,1935,65,English,USA,John S. Robertson,Stephen Morehouse Avery t,"Shirley Temple,Rosemary Ames,Joel McCrea,Lyle Talbot",6.5
662,Kabhi Haan Kabhi Naa,A dreamer falls for a girl who is in love with someone else and tries to create a rift between her and the man she loves.,"Comedy,Drama,Music,Musical,Romance",,1994,158,Hindi,India,Kundan Shah,Pankaj Advani t,"Shah Rukh Khan,Suchitra Krishnamoorthi,Deepak Tijori,Rita Bhaduri",7.8
275,Filth and Wisdom,A comedy centered on three flatmates living desperate lives in London.,"Comedy,Drama,Music,Romance",Unrated,2008,84,"English, Russian, Hindi",UK,Madonna,"Madonna,Dan Cadan","Eugene Hutz,Holly Weston,Vicky McClure,Richard E. Grant",5.6
491,Seoul Searching,"In 1986, a group of foreign born Korean teenagers attend a summer camp in South Korea.","Comedy,Drama,Music,Romance",TV-MA,2015,105,"English, Korean, German","South Korea, China, USA",Benson Lee,Benson Lee,"Justin Chon,Jessika Van,In-Pyo Cha,Teo Yoo",7
82,My Best Friend's Wedding,"When a woman's long-time friend reveals he's engaged, she realizes she loves him herself and sets out to get him, with only days before the wedding.","Comedy,Drama,Romance",PG-13,1997,105,"English, French, Italian",USA,P.J. Hogan,Ronald Bass,"Julia Roberts,Dermot Mulroney,Cameron Diaz,Rupert Everett",6.3
129,Larry Crowne,"After losing his job, a middle-aged man reinvents himself by going back to college.","Comedy,Drama,Romance",PG-13,2011,98,English,"USA, France",Tom Hanks,"Tom Hanks,Nia Vardalos","Tom Hanks,Sarah Mahoney,Roxana Ortega,Randall Park",6.1
137,Mother\'s Day,Three generations come together in the week leading up to Mother's Day.,"Comedy,Drama,Romance",PG-13,2016,118,"English, Spanish",USA,Garry Marshall,Anya Kochoff t,"Jennifer Aniston,Timothy Olyphant,Shay Mitchell,Caleb Brown",5.7
169,Doc Hollywood,A young doctor on his way across the country to a job interview crashes his car in a small town and is sentenced to work for several days at the town hospital.,"Comedy,Drama,Romance",PG-13,1991,104,English,USA,Michael Caton-Jones,Neil B. Shulman t,"Michael J. Fox,Julie Warner,Barnard Hughes,Woody Harrelson",6.2
204,Our Sunhi,"A young woman returning to her old school to visit her professor also runs into her old boyfriend and her senior, each of whom has a past with her.","Comedy,Drama,Romance",,2013,88,Korean,South Korea,Sang-soo Hong,Sang-soo Hong,"Jung Yu-mi,Lee Sun-kyun,Jae-yeong Jeong,Sang-Jung Kim",6.8
210,When Ladies Meet,"A successful novelist falls in love with her married publisher, to the consternation of her boyfriend, who arranges for her to meet the publisher's wife.","Comedy,Drama,Romance",Passed,1941,105,English,USA,Robert Z. Leonard,S.K. Lauren t,"Joan Crawford,Robert Taylor,Greer Garson,Herbert Marshall",6.5
221,Stuck in Love.,"An acclaimed writer, his ex-wife, and their teenaged children come to terms with the complexities of love in all its forms over the course of one tumultuous year.","Comedy,Drama,Romance",R,2012,97,English,USA,Josh Boone,"Josh Boone,Rick Bitzelberger t","Greg Kinnear,Jennifer Connelly,Lily Collins,Nat Wolff",7.2
332,College Romance,"Three best friends look for love, laughs and some lifelong memories while attending college together.","Comedy,Drama,Romance",TV-MA,2018–,30,Hindi,India,,,"Manjot Singh,Apoorva Arora,Keshav Sadhna,Gagan Arora",8.9
379,My Geisha,An actress disguises herself as a geisha in order to land the lead role in her director husband's film version of 'Madam Butterfly'.,"Comedy,Drama,Romance",Not Rated,1962,119,"English, Japanese",USA,Jack Cardiff,Norman Krasna t,"Shirley MacLaine,Yves Montand,Edward G. Robinson,Robert Cummings",6.6
478,Happythankyoumoreplease,"Captures a generational moment - young people on the cusp of truly growing up, tiring of their reflexive cynicism, each in their own ways struggling to connect and define what it means to love and be loved.","Comedy,Drama,Romance",R,2010,100,English,USA,Josh Radnor,Josh Radnor t,"Malin Akerman,Michael Algieri,Bram Barouh,Dana Barron",6.8
542,Hotel de Love,Twin brothers meet a childhood sweetheart at a tacky hotel and rediscover their love as they renew their competition for her affection.,"Comedy,Drama,Romance",R,1996,96,"English, French",Australia,Craig Rosenberg,Craig Rosenberg,"Aden Young,Saffron Burrows,Simon Bossell,Pippa Grandison",6.1
655,Pyaar Ka Punchnama 2,"After falling in love, three roommates experience changes in their lives.","Comedy,Drama,Romance",Not Rated,2015,137,Hindi,India,Luv Ranjan,Luv Ranjan t,"Kartik Aaryan,Omkar Kapoor,Sunny Singh Nijjar,Nushrat Bharucha",7.3
657,Friends with Kids,"Two best friends decide to have a child together while keeping their relationship platonic, so they can avoid the toll kids can take on romantic relationships.","Comedy,Drama,Romance",R,2011,107,English,USA,Jennifer Westfeldt,Jennifer Westfeldt,"Adam Scott,Jennifer Westfeldt,Maya Rudolph,Chris O'Dowd",6.1
674,Show Me Love,"Two teenage girls in small-town Sweden. Elin is beautiful, popular, and bored with life. Agnes is friendless, sad, and secretly in love with Elin.","Comedy,Drama,Romance",Not Rated,1998,89,Swedish,"Sweden, Denmark",Lukas Moodysson,Lukas Moodysson,"Alexandra Dahlström,Rebecka Liljeberg,Erica Carlson,Mathias Rust",7.5
682,Emma.,"In 1800s England, a well meaning but selfish young woman meddles in the love lives of her friends.","Comedy,Drama,Romance",PG,2020,124,English,UK,Autumn de Wilde,Eleanor Catton t,"Anya Taylor-Joy,Angus Imrie,Letty Thomas,Gemma Whelan",6.7
687,Can't Buy Me Love,An outcast secretly pays the most popular girl in school one thousand dollars to pretend to be his girlfriend for a month.,"Comedy,Drama,Romance",PG-13,1987,94,English,USA,Steve Rash,Michael Swerdlick,"Patrick Dempsey,Amanda Peterson,Courtney Gains,Tina Caspary",6.8
705,Love in the Time of Money,"New York serves as a backdrop for a cast of characters in search of love, lust or lucre including a woman who makes awkward moves on the man renovating her SoHo loft, an embezzler, a sleazy artist and a phone psychic.","Comedy,Drama,Romance",R,2002,90,English,USA,Peter Mattei,Peter Mattei,"Vera Farmiga,Domenick Lombardozzi,Jill Hennessy,Malcolm Gets",5.4
185,Blast from the Past,A naive man comes out into the world after spending 35 years in a nuclear fallout shelter.,"Comedy,Drama,Romance,Sci-Fi",PG-13,1999,112,"English, French, German, Latin",USA,Hugh Wilson,Bill Kelly t,"Brendan Fraser,Alicia Silverstone,Christopher Walken,Sissy Spacek",6.6
299,Fever Pitch,Lindsay is stuck in the middle of her relationship with Ben and his passion for the Boston Red Sox.,"Comedy,Drama,Romance,Sport",PG-13,2005,104,English,"USA, Germany","Bobby Farrelly,Peter Farrelly",Lowell Ganz t,"Drew Barrymore,Jimmy Fallon,Jason Spevack,Jack Kehler",6.2
499,Nativity 2: Danger in the Manger!,A worried new teacher has to juggle a pregnant wife and a class of children on a road trip to the National 'Song for Christmas' Competition.,"Comedy,Family",TV-PG,2012,105,English,UK,Debbie Isitt,Debbie Isitt,"David Tennant,Marc Wootton,Jason Watkins,Joanna Page",5.3
514,Judy Moody and the Not Bummer Summer,Third grader Judy Moody sets out to have the most thrilling summer of her life.,"Comedy,Family",PG,2011,91,English,USA,John Schultz,Kathy Waugh t,"Jordana Beatty,Parris Mosteller,Janet Varney,Kristoffer Ryan Winters",4.3
533,The Little Rascals Save the Day,"The Little Rascals are back in an all-new movie! Join the fun with Spanky, Alfalfa, Darla, Buckwheat, Petey the dog and the whole gang as they are up to their usual mischief! The Rascals ...","Comedy,Family",PG,2014,98,English,USA,Alex Zamm,"William Robertson,Alex Zamm","Doris Roberts,Greg Germann,Lex Medlin,Valerie Azlynn",5.1
572,Red Lights Ahead,"Pa Wallace, an ardent member of the Whales, is offered a chance to invest $5,000 in a gold mine by the head of the Whales, Grand Harpoon F. Q. Whitney. Mrs Wallace is opposed but the four ...","Comedy,Family",APPROVED,1936,70,English,USA,Roland D. Reed,Robert Ellis t,"Andy Clyde,Lucile Gleason,Roger Imhof,Ben Alexander",6.2
619,Confidentially Connie,"Texas cattleman Opie Bedloe comes to Maine to visit his son Joe, a college instructor, and his wife Connie in the hopes of persuading Joe to give up his teaching career and come back to ...","Comedy,Family",Approved,1953,74,English,USA,Edward Buzzell,Max Shulman t,"Van Johnson,Janet Leigh,Louis Calhern,Walter Slezak",5.8
144,Halloweentown High,A girl in a magical world bets her family's magic that nothing bad will happen when kids from Halloweentown attend high school in the mortal realm.,"Comedy,Family,Fantasy",TV-G,2004,82,English,USA,Mark A.Z. Dippé,Paul Bernbaum t,"Kimberly J. Brown,Debbie Reynolds,Judith Hoag,Joey Zimmerman",6.2
700,Ghost Dad,A widowed father tries to support his children after he becomes a ghost in an accident.,"Comedy,Family,Fantasy",PG,1990,83,English,USA,Sidney Poitier,Brent Maddock t,"Bill Cosby,Kimberly Russell,Denise Nicholas,Ian Bannen",4.4
470,Father of the Bride Part II,"George Banks must deal not only with the pregnancy of his daughter, but also with the unexpected pregnancy of his wife.","Comedy,Family,Romance",PG,1995,106,English,USA,Charles Shyer,Albert Hackett t,"Steve Martin,Diane Keaton,Martin Short,Kimberly Williams-Paisley",6.1
43,One A.M.,A drunken homeowner has a difficult time getting about in his home after arriving home late at night.,"Comedy,Family,Short",TV-G,1916,26,"None, English",USA,Charles Chaplin,Charles Chaplin,"Charles Chaplin,Albert Austin",7.1
480,MVP: Most Valuable Primate,"When Jack, a sign-language-speaking chimp, makes a break for freedom, his talent for ice skating soon turns him into the local hockey team's secret weapon. But the lab officials are closing in.","Comedy,Family,Sport",PG,2000,93,English,"Canada, USA",Robert Vince,"Anne Vince,Robert Vince","Bernie,Louie,Mac,Russell Ferrier",4.1
414,Wu Yen,A gifted female warrior is destined to marry the emperor and bring prosperity to the dynasty.,"Comedy,Fantasy",,2001,123,Cantonese,Hong Kong,"Johnnie To,Ka-Fai Wai","Ka-Fai Wai,Nai-Hoi Yau,Ben Wong","Sammi Cheng,Anita Mui,Raymond Ho-Yin Wong,Cecilia Cheung",6.2
28,Joe's Apartment,"A nice guy has just moved to New York and discovers that he must share his run-down apartment with a couple thousand singing, dancing cockroaches.","Comedy,Fantasy,Musical,Sci-Fi",PG-13,1996,80,"English, Spanish",USA,John Payson,John Payson t,"Jerry O'Connell,Megan Ward,Billy West,Reginald Hudlin",5.5
199,Teen Witch,"High school misfit Louise, at a loss for romance, discovers magical abilities, but the teenage witch finds that she cannot conjure herself true love, so what?","Comedy,Fantasy,Romance",PG-13,1989,90,English,USA,Dorian Walker,"Robin Menken,Vernon Zimmerman","Robyn Lively,Dan Gauthier,Joshua John Miller,Caren Kaye",6.1
589,Clueless Genius,"In each episode the advise team has to solve approx. 8 questions, which the TV watchers at home can send in. If they haven't succeeded within a given time (with each individual question), the watcher who sent this question wins 500 Euros.","Comedy,Game-Show",,2003–,45,German,Germany,,,"Hugo Egon Balder,Hella von Sinnen,Bernhard Hoëcker",6.5
641,Start the Revolution Without Me,"Two mismatched sets of identical twins, one aristocrat, one peasant, mistakenly exchange identities on the eve of the French Revolution.","Comedy,History",M,1970,90,English,USA,Bud Yorkin,"Fred Freeman,Lawrence J. Cohen","Gene Wilder,Donald Sutherland,Hugh Griffith,Jack MacGowran",6.5
64,Decampitated,"Seven friends are going camping at the infamous DeCamp acres for a weekend. But they crash their car and have to walk, encountering a psychopath who tries to kill them one by one.","Comedy,Horror",R,1998,92,English,USA,Matt Cunningham,Matt Cunningham t,"Amy Gordon,Mike Hart,Steve Ladden,Wayne Larsen",4.9
86,Evil Breed: The Legend of Samhain,Two American tourists on a romantic camping trip are brutally murdered. A few days later during the ancient festival of Samhain a group of US college students moves into a beautiful cottage surrounded by a lush forest and a majestic lake.,"Comedy,Horror",R,2003,78,English,Canada,Christian Viel,William R. Mariani t,"Bobbie Phillips,Howard Rosenstein,Ginger Lynn,Chasey Lain",3.2
124,Children Shouldn't Play with Dead Things,Six friends in a theatrical troupe dig up a corpse on an abandoned island to use in a mock Satanic rite. It backfires with deadly consequences.,"Comedy,Horror",PG,1972,87,English,USA,Bob Clark,Bob Clark,"Alan Ormsby,Valerie Mamches,Jeff Gillen,Anya Ormsby",5.4
238,Jennifer's Body,A newly possessed high school cheerleader turns into a succubus who specializes in killing her male classmates. Can her best friend put an end to the horror?,"Comedy,Horror",R,2009,102,"English, Spanish","USA, Canada",Karyn Kusama,Diablo Cody,"Megan Fox,Amanda Seyfried,Johnny Simmons,Adam Brody",5.2
426,Little Devils: The Birth,"The Little Devils are mini-masters of mayhem, created by an evil scientist. Dr. Lionel discovers an ancient mudpot from Hell, returning home with samples of it. Unfortunately, he has been ...","Comedy,Horror",,1993,100,English,Canada,George Pavlou,Elliott Stein,"Russ Tamblyn,Marc Price,Nancy Valen,Wayne McNamara",3.1
