"mID","cID","rTitle","rBody","rRating"
47,6,A crazy but thoroughly enjoyable ride.,"After the death of his wife, a promising singer's career is put on hold as he tries to cope with the loss and take care of his young daughter, Maria. Depressed and not believing he is doing enough for his daughter, Alejandro (Jaime Camil) decides to send her to her grandparents in the United States. Unfortunately when he goes to get a visa at the US Embassy his application is rejected by an unsympathetic embassy employee, Rachel (Laura Ramsey), who meticulously follows the rules for granting visas, leaving Alejandro out in the cold. Bitter, Alejandro blames Rachel, who he complains 'wouldn't even look at him,' for all his troubles.Rachel, who is about to accept a promotion to a position in London, is shocked when her colleagues throw her a going away party that night. With his career in the dumpster, Alejandro is relegated to playing in a mariachi band, and is shocked when he finds himself playing for Rachel at the going away party. Inspired by the chance meeting he decides he's been given a second chance to get his visa, so he concocts a complicated plan to gain Rachel's favor.Although Alejandro's scheme is a bit over the top, he takes Rachel on such an enchanting ride that she can't help but rethink her feelings about Mexico and Alejandro. Although Rachel is rather naive for a diplomat, she is refreshingly honest and trusting which paints her as anything but a cold-hearted American. Strong performances by Jaime Camil, Laura Ramsey and Omar Shaparro brought this heart-warming romantic comedy to life and made it a thoroughly enjoyable experience.",7
58,2,William Castle Presents Joan Crawford In EMOTE-O-RAMA,"Like all William Castle films, the story of STRAIT-JACKET is slight, full of holes, and often silly to the point of absurdity. Long ago Joan Crawford came home to find her husband in bed with a floozie and snatched up an ax. Adjudged insane, she is locked up in an asylum for twenty years, but now she's home--and pretty soon some really weird things begin to happen around the old family farm. Could it be, oh, I don't know... JOAN? Throughout his career, producer-director William Castle liked to build his movies around gimmicks: TINGLER had ""Percepto,"" 13 GHOSTS had ""Illusion-O,"" and HOUSE ON HAUNTED HILL had ""Emergo."" But STRAIT-JACKET had something better: Joan Crawford herself, who plays in a style that can only be described as ""Emote-O-Rama."" Say what you like about Crawford, she never gave any performance less than one hundred percent, and in STRAIT-JACKET she gives one hundred and fifty. In the opening scenes, 60-something Joan has the unmitigated gall to play Lucy in her 20s! Later, as Lucy in her 40s, Joan plays the role like a nice little old lady who occasionally drops acid: when she's not busy with her nervous breakdown, she sucks down bourbon, attempts to seduce her daughter's boyfriend (even to the point of putting her fingers in his mouth), knits like a fiend, lights a cigarette by striking a match on a record album, raises hell at a dinner party... and all of it about as subtle as a bulldozer.But they didn't call her a star for nothing: not only does Crawford manage to carry it off with complete conviction, she actually manages to endow the character with considerable pathos along the way. And I have absolutely no doubt that THIS was the film Faye Dunaway studied the most when preparing to play Crawford in the infamous MOMMIE DEAREST; watch both back-to-back and you'll know exactly what I mean.The rest of the cast is pretty interesting as well, featuring Diane Baker as daughter Carol, Leif Erickson as Crawford's brother, George Kennedy as an unsavory farmhand, and a very young Lee Majors as the ill-fated husband--not to mention Mitchell Cox, a Pepsi V.P. Joan was favoring at the time. There are cheap special effects (amazing, how she can neatly lop off a head or two with a single blow), Pepsi-Cola product placements, and even some dialogue that would do Ed Woods proud. It's all campy and bizarre and hilariously weird and ramped up to the nth degree by Crawford's full-force performance.With a somewhat better script and production values, STRAIT-JACKET could easily have matched Bette Davis' more sophisticated HUSH, HUSH SWEET CHARLOTTE; as it stands, however, it is a cult movie in all caps. The DVD release is very nicely done, with the film itself in excellent condition. A collection of Crawford's costume tests gives a surprising insight to actress' personality, and a particularly nice little making-of documentary includes comments from Diane Baker. (Note: don't watch the documentary, called ""Battle-Ax,"" until after you've seen the film: it's a spoiler.) Strongly recommended to Castle, Cult, and Crawford fans! Gary F. Taylor, aka GFT, Amazon Reviewer",7
58,3,You can't afford to miss Straight Jacket.,"The movie opens with shocking betrayal.  Lucy Harbin (Joan Crawford) returns from a journey only to find her husband (Lee Majors) in bed with another woman.  She spins into a murderous rampage.  With an axe, she evens the score by lopping of the heads of her adulterous husband and his mistress with a big, shiny axe.  Her revenge is the fuel for local legend, but the price is twenty years in a mental intuition.When Crawford is released from custody (fully recovered) the story begins.
The prison bus drops Crawford off at the home of her sweet and innocent daughter, who is very popular and happens to be dating the richest boy in town.  She also watched as her mother brutally murdered two people, including her father,  but in spite of life's little setbacks, Diane Harbin is perfectly fine.With such a humdrum cast of characters, it seems strange when headless corpses start showing up all over town.  Who could the murderer be?This movie is one of the five best movies I saw in 2003. It's lots of fun, and Crawford's performance outclasses any I've seen.   It is a GREAT movie. It's got LOTS of decapitations, but no gore or fake blood!   A modern marvel!",10
58,7,Who says Castle couldn't direct?!?,"This is one of the most enjoyable horror films ever.  The closing credits gag reveals the spirit of the picture - it is not to be taken seriously.  By the way don't spoil a great laugh by reading what that gag is, in the ""crazy credits"" section.  This is pure camp fun, played brilliantly by Joan Crawford in an Oscar worthy performance.  The opening narration is hilarious - and Joan's get-up (black fright wig, clinging floral dress and clanging bangles) is outrageous.  You'll probably guess the surprise ending - but that's not what this film is about.  Besides the fun element there is also a subversive political statement - Castle sets his axe-murder horror on a sweet little farm, that looks like a set from a family sit-com.  And the family that live in it are too good to be true as well.  But all this is a facade, as insanity, lust and murder lie just below the surface.Also of note in the cast are George Kennedy - excellent as the twisted handy-man, and Diane Baker as the perfect daughter.  And apparently that's Lee Majors being hacked up at the start of the film.  Castle does a brilliant directing job, but it's Joan's film all the way - what she can do with knitting and matches is truly amazing!  And the scene where she attempts to seduce her daughter's boyfriend is nothing short of magic.  I can't believe that an actress who could play this scene with such good humour, could have taken herself as seriously as ""Mommie Dearest"" suggests. Do not miss this over-looked classic.",6
58,1,''The Best In Axe-ploitation!'',"No matter what script she was given to do, Joan Crawford was a pro. In this William Castle classic, she proves it again. The plot has been rehashed in previous reviews, so I can get to the heart of the matter here. Joan plays an ex-axe murderess with typical fury, beautifully combined with a poignancy which may be completely unexpected, but nevertheless completely appropriate. Well supported by the underrated Diane Baker, Leif Erikson, Rochelle Hudson and George Kennedy, she gives meaning and depth to what otherwise would have been just another horror film. Whether playing scenes with daughter Baker's boyfriend (John Anthony Hayes) or his snobbish parents, (Howard St, John and Edith Atwater), Crawford is on the money, using her years of experience to transcend her material. Thanks to her, ""Strait-Jacket"" is a worthy thriller from a Legendary Star and a fondly remembered director. See Castle's other collaboration with Joan, ""I Saw What You Did"" (1965). It's a winner, too!",8
62,6,"Great cast, great script","RKO doesn't get the high praise for its westerns that, for example, Paramount does, but its Tom Keene series deserves very high marks.""Renegades"" is an excellent film, with a superb cast, remarkably good dialogue, and even music directed by Max Steiner, later to win much fame for ""Gone With The Wind"" and ""King Kong,"" among many others. (He didn't write much for this series, but placed the music well and appropriately.) Tom Keene was a good actor who should have gone on to more fame and glory. The script writers didn't just quickly throw together a bunch of clichés.The directing was good -- in fact, it was by Casey Robinson, more famed as a scriptwriter of several classic movies, such as ""Casablanca"" and ""Kings Row.""The entire cast was likable and talented. I hope all western fans get to see this one -- in fact, I hope all movie fans will see it.",10
62,7,Amusing Eccentric RKO B Western,"Tom Keene wanders into town in a black hat in this one. He gets a job with Rockcliffe Fellowes claiming acquaintance of a jailbird, charms Betty Furness, changes his hat, adopts a baby and finally gets around to why he's in town in this amusing, eccentric B Western.Casey Robinson was finishing up a couple of years of directing Bs before he headed back to his writer's desk, and he fills this one-hour second feature with eccentric character actors. Mr. Keene plays the reluctant hero amusingly. Miss Furness appears in her screen debut; her part had been cut out of another picture, and she would continue as an adornment at RKO with few lines; here, stuttering Doctor Roscoe Ates has to speak her lines for her!",6
69,9,Not Great But Entertaining,"""In the Cold Light of Day"" is no ""Bourne Identity"". It has something of a made-for-TV look to it. At one point while watching, I was reminded of the 80s action/espionage type films sometimes directed by the likes of Lucio Fulci (Contraband, 1980) or Ruggero Deodato (Cut & Run, 1985). I suspect ""In the Cold Light of Day"" will look as bad in 20-odd years as those earlier films look today. OK, this film is somewhat better production values-wise (but lighter on the Italians' trademark violence), but it still has that Euro-American co-production 'el cheapo' look to it.Nonetheless, it is, as my review heading states, quite entertaining. It plods along amiably enough for much of its length until the film's highlight, around 16 minutes from the end: a very well executed and imaginative car chase sequence. It's pretty long, well-shot (as is much of the film, incidentally), includes several creative elements, and is fast-paced and pays off well. It's one of the best car chases this reviewer recalls seeing in quite a while.I suppose a score of 6 out of 10 is quite generous for a mediocre film such as this, but it does reflect the entertainment value this reviewer enjoyed.",6
69,3,A bad TV movie,"I went to see this film after I saw an initial rating on here of 8 out of 10, but let me tell you it is very, very poor.The film is littered with blatant product placement to the point that I thought at some points I was watching a slick advert. The first of these adverts is when the film lead stops to buy a drink of coke for no reason and proceeds to slowly drink it with the can taking up most of the screen, really just like an advert.This was a little annoying but I kept hope that this was a small issue in what could become a very good film. Unfortunitly it didn't and car and phone adverts continued through the film. The script was poor and events unbelievable. Most of the action scenes you will have seen copied from Bourne or other action movies but made laughably similar but much worse. The acting from weaver was poor, although I am not sure if the blame lies with sigourney or the director. To be honest Bruce Willis is by far the best actor and carries the film for the first 20min giving some hope it will become a good action film, unfortunately it did not.I have never walked out on a film but after a number of laugh out loud moments ( at the film ), I was seriously contemplating it. I may be wrong but i think we have a nomination for a rotten tomato award.3 stars is being kind,",3
69,8,4.8,"I have to disagree with the bourne analogy.I just don't see it ,after watching the movie I felt it went in a bit of a different direction and I actually thought the movie was entertaining,and cavill seemed unaware for the most part what was going on.Was it a blockbuster,or huge like the bourne's ? No.But it had merit and I am I admit,a little into cavill,and think he is on the rise.the thing is though,is that they are doing a lot of movies along this same line.Still,all in all,though its not great,i wouldn't go so far to say that its not worth a watch.There may be a few mistakes and oddities in the show,but still it kept my attention to the end.the storyline seems to lack here and there,but I guess I still think it turns out to be a fairly good watch.",7
69,5,Don't bother.... it's a waste of time.,"If you've seen the Bourne Trilogy, and then you go and see this - you're going to be severely disappointed. It's like a poor man's version! This film tries to be everything that the Bourne series was - but fails spectacularly. Every element of this film that comes together to make the whole - is worthy of criticism. The storyline is amateurish. When you get to the end of the film, you recollect what you've just seen and think to yourself - man there were so many far fetched scenes and wholly unnecessary ones - but then again, if plot didn't contain them, there'd be no film! I'm sorry to be so vague, but this film was put together like a recipe. The writer must have asked himself - what do I need to put into an action/thriller to make it worthy of that genre? Got all the elements together, and mashed them together hastily to produce this utter waste of time. You're left devoid of any satisfaction by the time you reach the end. Just don't watch it and save yourself some money. Rent it on DVD, you'll thank me later.",2
70,7,Above average study of small time Irish American thieves.,"'Noose' (a.k.a. 'Snitch') is a movie that sneaks up on you. I stumbled across it almost by accident and watched it mainly because of the cast. The late Ted Demme directed, and personally I enjoyed this more than his better known 'Blow'. It contains a few dull spots but overall, it's a pretty interesting and effective look at small time crooks and their attitudes towards family and loyalty. Denis Leary once again proves he has some genuine talent as an actor, not just as a comedian. He basically makes this movie, though Ian Hart ('Backbeat') is also very good. Leary's co-star in 'Jesus Son' Billy Crudup appears in a small supporting role. It's a pity they didn't share more on screen time together because they make a memorable duo, as anyone who has seen 'Jesus Son' will agree. Colm Meaney ('Con Air') makes an intimidating bad guy, and Famke Janssen ('X-Men') is not only astonishingly beautiful but she is also believable as a troubled local caught between Leary and Meaney. It was also good to see the highly underrated John Diehl ('Motorama') as one of Leary's buddies and Martin Sheen ('Badlands') has a nice turn as a frustrated local cop. The cast here is sometimes better than the occasionally predictable script, but on the whole this movie is worth watching. Above average.",8
70,1,A good film about thugs,"The chronicles of soldier level (the lowest level of thugs in the mafia) of the Irish mob gang is directed well by Demme. Although its not flashy, it tells a semi-simple story in a natural and realistic manner. Leary does well in the lead as Bobby O Grady who is a member in Jackie's(Meaney) gang but things go bad when Jackie the boss kills one of Bobby's friends. This film is written well by Mike Armstrong and Denis Leary (uncredited according to IMDb). I liked how Demme went about it, much different from other films i saw of his which were ""Blow"", ""Life"", although in some ways i could see similarities between this and his 96' film ""Beautiful Girls"". After viewing this, i think that Demme was not a bad director, of course not on the level of his uncle Jonathan Demme. Anyhow this film good, if u like mafia or movies about thugs (i do) then u will like this. IMDb rating: 6.3 my rating: 8/10",10
70,6,the code of silence,"I grew up in this town of Charlestown a very strong irish neighborhood people here call themselves townies. The movie Monument Ave. is about the code of silence this town went through. Its very much like it but there were many more murders and alot more police arrests. Boston wanted to break the Irish Catholic clout in Charlestown and open the town up to new cultures, it never happened but since 2000 the town is only 93% Irish-Townie catholic. Monument Ave. was a very good movie and it explained what it was like here but it was much more violent. Charlestown was and still is a very dangerous town. Like in the movie brothers were killing brothers and people killing each other knowing that people would not tell that they did this, sex and drugs was involved in this alot too. Racism and Loyalty and doing inappropriate things like robbing, shooting, stabbing fighting, drinking etc. was a big thing here to. Kids around Charlestown (Townies) made a book about this called The Piece of Peace. There was 149 murders during the code of silence in Charlestown. Monument Ave. is a good explanation of what happened here. Thats what it was really like. Not like ""Southie"" which is nothing compared to Charlestown. But Monument Ave. was an exellent movie!",8
70,8,Monument Avenue really works with it's fine acting and directing,"Monument Avenue is a familiar story that has been done before.  However, this film really works due to the fine acting and directing.  Ted Demme does an outstanding job developing the characters through his his long and sometimes drawn out dialogue scenes.  The cast of Dennis Leary and Famke Janssen are extremely convincing and really make this film better than most of it's kind.  Perhaps the small, almost cameo roles played by stars Billy Crudup, Martin Sheen and Jeanne Tripplehorn are what really make this film worth seeing.  This is a perfect example of how good directing and acting can make a big difference on a common and somewhat predictable script.",8
73,5,So right on what life is!,"This is a simple story on kind people: Jean tries his best to live his life as a good person. When he describes his mason's job, we understand he likes it deeply and is quietly proud of it. His simplicity moves the teacher and the watchers. She invites him to see a problematic window in her flat. This change of window is like a symbol of what will be happening to them: Jean asks her to play the violin for him, and music will bring him elsewhere, beyond his today's limits -the classical music itself plays an important part, Jean is deeply moved by this discovery too, not only because she is playing the music herself-. This moment is for me a pure beauty. On her side, she is also brought to a new area in her life where there is someone who loves when she plays music, who is eager to learn and to open himself, someone who cares about others and about her: this is building confidence in her and adds a new depth in her interest in people and in life, although we understand there will be pain for both of them!No one wants to hurt any one around! The choice will have to be done and these good people will prefer being hurt themselves than their beloved around. When Jean asks her to accept and play the violin for his father' birthday party, he is so straightforward, so daring for a simple -nearly shy- person, that it seems clear he has reached also a new confidence, he has gone behind the window. We also think about what is exactly loving someone: Jean' wife understands so simply it means letting the other one be happy, grow and develop himself without trying to pressure him and use guilt. She is also building a new confidence in her husband and thus in life... This moment has been a very fulfilling for me: thank you Monsieur Brize!",10
73,4,A sweet sadness,"In Stéphane Brizé's restrained fourth film (which he's adapted from a 1996 Éric Holder novel) a tight-lipped mason named Jean (Vincent Lindon) in an unnamed provincial French town meets his little boy's schoolteacher, the Mademoiselle of the title (Sandrine Kiberlain) and his world subtly changes. He loves his wife Anne-Marie (Aure Atika), who works in a print shop, and little Jérémy (Arthur Le Houerou), but Mademoiselle (her name is Véronique, but Jean never gets beyond the formal ""vous"" with her) has a refinement, a delicacy. And she plays the violin -- classical music that Jean seems unfamiliar with but delighted by.At first Mademoiselle asks Jean at the last minute to fill in and speak to her class (and his son's) about his work, an experience that also gives him great pleasure. Perhaps he enjoys indirectly telling this refined maiden lady who attracts him about his basic, satisfying work, building houses that are always different and will last, as one child asks, ""for your whole life."" Then when she asks help with a broken window at her flat, he takes a look and then insists on being the one to replace it. Then comes the music. He insists that she play; photos and the violin tell him of her former profession.This film has only a hint of sex, and no raw physicality, but it works with the body, with silence, and with gesture. Throughout it shows Lindon acting the part by doing hard construction work on screen, breaking up paving with a pneumatic drill, mounting the window, laying bricks of a wall, and so on. He even walks like a skilled laborer. Anne-Marie is always ironing, cooking, shopping, making lists. Mademoiselle Chambon reads, rests, places her hand delicately on her neck. Jean tenderly washes the feet of his old father (charming veteran Jean-Marc Thibault).Finally the teacher plays a recording of chamber music at her place for Jean and as they sit together listening they slowly hold hands, embrace, and cling together as if at home, but afraid to go further. This carefully paced sequence is one of the film's most effective. However many ""make-out"" scenes you may have seen, this one still feels fresh. Lindon is like a fine mason in his acting, slowly, patiently laying the bricks of gesture. A silence and a pause can speak volumes.Both Véronique and Jean fight their attraction. And can it go anywhere? But it keeps growing, despite gestures in the opposite direction. Jean tells Mademoiselle that her CD's interest him even though he hasn't listened to them yet. She usually changes schools every year, but tells him, in a key scene, that she's been asked to fill in for someone and stay on. But instead of expressing enthusiasm, Jean blurts out that his wife is pregnant.This is one anchor to the family: one child, and another coming. Another is Jean's father. Jean and Anne-Marie are planning a big birthday party for the old man at their house with family members coming from all over. Family matters. But Jean shows how far his feelings have gone in another direction -- even though we've seen only those restrained moments -- when he invites Mademoiselle Chambon to come and play the violin for his father. It's not certain that his wife has suspected anything, but she has noticed that Jean seems bored, indifferent, irritable. And she might suspect why now.What follows is surprising -- agonizingly suspenseful -- and quite familiar. We've seen this kind of story before. We've seen these characters before. But we've rarely seen more delicacy than Bizé brings to his treatment of the story, which is haunting in a classic way without feeling in any way retro -- though perhaps the provincial setting was chosen to avoid that, to have events unfold in a place that's less aggressively modern and hip than Paris.Lindon and Kiberlain are husband and wife, though now estranged, which may help explain the magnetic energy in their scenes together. There are plenty of lines here, but there's a distrust of language, together with a touching desire to use it properly. ""I'd like to hear more tunes,"" Jean tells Véronique. ""Is that right, to say 'tunes'?."" At the outset, Jérémy poses a homework problem to his parents to find the ""direct object"" in a sentence and they haven't a clue, but patiently figure out what this means. Bizé is great with the children. Arthur Le Houerou as the son is unfailingly alive and natural; and his classmates are spontaneous and charming (though primed, as classes are) when they excitedly ask Jean about his work.If there is a weakness to the film it's the danger that the differences of class and culture are pelled out a little too clearly. Lindon is a magnificent actor, but as a man with many illustrious relatives and one-time suitor of Princess Caroline of Monaco he is not exactly drawing on personal experience in playing a mason whose father was also a mason. Nonetheless he is for the most part utterly convincing. It's the film itself that plays on broad differences that a screenplay of 90 minutes duration cannot quite adequately delineate. Lindon has a harried, careworn, but solid quality that fits a working man in need of reawakening. Kiberlain seems held inward, decent but tragically needy. You wouldn't know that she's been around the block with the actual Lindon and had a child by him; she could be this uptight maiden lady on the brink of lifelong spinsterhood. There's a sadness about her, a sweet sadness.Opened in mid-October 2009 in Paris, this film is part of the Rendez-Vous with French Cinema at Lincoln Center for 2010. What a contrast with the mad body-presses and adulterous whirlwind of another film in the series, Cédric Kahn's Regret. When it comes to the varieties of love, the French have the bases covered.",9
73,2,The Quiet Ache of Infatuation,"MADEMOISELLE CHAMBON is a delicate, quiet interlude in the life of a construction worker in a little village whose gentle life is momentarily disrupted by the awakening of feelings of infatuation and the aftermath. Based on the novel by Eric Holder and adapted for the screen by Florence Vignon and director Stéphane Brizé, this little miracle of a movie is what the French do best - understated appreciation for passing passion in a world of ordinary days. Jean (Vincent Lindon) is a construction worker happily married to Anne-Marie (Aure Atika) and adoring father of young son Jérémy (Arthur Le Houérou) and loving son of his retired builder father (Jean-Marc Thibault): he spends his hours away from his work tutoring his son with his wife and bathing his father's feet. Jérémy's new schoolteacher is the very reserved but kind Véronique Chambon (Sandrine Kiberlain, in life the wife of Vincent Lindon!) who requests that Jean speak to her class about his occupation as a builder - an assignment Jean is flattered to accept. The presentation goes well and Véronique hesitantly asks Jean to repair a window in her home. Jean accepts the job (Anne-Marie thinks it is such a kind gesture that she asks Jean to invite Véronique to lunch). Jean replaces the window for the quietly reserved and anxious Véronique, and afterward Jean, noticing that Véronique plays the violin, requests she play for him a 'tune'. It is obvious that the peripatetic teacher is lonely, and it is also obvious that Jean is struck by the fact that a woman of education and musical talent would pay attention to a simple construction worker. In a weak moment the two exchange a kiss and that kiss alters the manner in which each of these two gentle people react to life. The results of this chance encounter play out in the conclusion of the story, a story so tender and yet so grounded in the realities of life that it takes the viewer by the heart and doesn't let go. The many varying moments of intimacy, whether those moments are between Jean and his son, Jean and his father, Jean and his wife, and Jean with Mademoiselle Chambon, are photographed like paintings by cinematographer Antoine Héberlé. The entire cast is excellent and the performances by the five leading actors are superb. The musical score consists of original music by Ange Ghinozzi with a generous sampling of music by Sir Edward Elgar and others. This frail bouquet of a film appreciates silence, the unspoken word, and the natural emotions of ordinary people living ordinary lives. It is a multifaceted treasure. Grady Harp",10
73,8,Vincent Lindon and Sandrine Kiberlain at their very best.,"I am not a romance films lover. I prefer brutal, thrilled and action movies; not for the squeamish. But this one, totally different, is a masterpiece for me. A real monument of fineness, sensibility and emotion. Kiberlain and Lindon were, not so long ago, a couple in real life. That explains everything on the screen. Some sequences are outsanding.When shy Lindon asks shy Kiberlain to play a disc of HER music, and when they listen to it, side by side, I felt warmth under my skin. An unforgettable moment. Pure emotion. At one hundred per cent.And the sequence at Lindon's father's anniversary, when Kiberlain plays violin, her eyes closed, plunged into her music, her world, her soul. At this moment, Lindon's wife stares at her husband's face, and Kiberlain's one. And she understands. Everything. But keeps this for her.I won't spoil the end of this real gem. But, believe me, all long this story, I felt my eyes wet.",10
74,2,"Bad,bad movie...","This was a bad,bad movie... Completely awful, I don't even know where to begin. I really liked the first one, the story was cool, jokes were excellent, had that Adam Sandler humor going on. But this one - nothing. Absolutely nothing. I haven't had one laugh throughout the whole movie. They've managed to put in,at least 3 minutes long,""farting in the face"" scene on the very beginning of the movie. And it got even worse after that!!! Farting, nuts stuck in the toilet scene, farting,dick in the popcorn scene, farting, boobs, gay jokes, boobs, farting... Such a shame what they did with this movie. You can see that even the actors don't give a damn,they don't even try to make it better. What a nasty way to take people's money! In the end - nothing made any sense, especially why i watched it whole the way through.I just feel more stupid now!I don't recommend it, don't watch it! Better take a two hour nap or something, it will be a time better spent!",6
74,1,I saw this movie for free and I still want a refund,"Now I know why this didn't get a theatrical release. It's full of the worst thing a comedy can have: awkward, dead air. The first was stupid, low-brow humor, but it was really funny. This one made me want to stop watching after twenty minutes. Not only were the jokes not very funny, I feel like there weren't many of them. Most of it was awkward conversations. The movie would also randomly focus on characters other than Joe Dirt, and they weren't funny. You might chuckle a couple times but the humor is nowhere near as consistent as the original.If you liked the first one, don't watch it. If you didn't like the first one, definitely don't watch it. Just don't watch it.",1
74,7,the subtlety and innocence of the character was completely gone.,"The reason I liked the first Joe Dirt a lot was because Joe Dirt was a likable and kind of an innocent character. The first movie had some crass jokes and it had some dark humor in it, but Joe Dirt was always the shinning star of the story. He felt like a real character that was just down on his luck, the humor might have been silly and gross at times but Joe Dirt was still an innocent, Naive, good person looking for his parents. That was the core of the story. A good guy that did not have the best life and wanted to find his family. What do we get here? Just a cynical version of that character.the subtlety of the character is completely gone. This felt more like am actual mean spirited Parody of the first Joe Dirt. there was nothing deeper to this movie than just the jokes and the cameos. Say what you will about the first movie but it at least tried to have a heart underneath all the jokes. What happened to ""Life is a garden, Dig It"" what happened to that? that's my point. This movie felt like if it was written and Directed by Robbie (Kid Rock) from the first one. The same exact thing happened to the Dumb and Dumber sequel and the Vacation sequel. any kind of innocence and naiveness those characters had was replaced by foul humor. Not sure what is happening to comedy anymore. Everything is just loud and obnoxious today.",1
74,4,I'll take it,"It is hard to make a sequel to a movie like Joe Dirt 14 years later. The story of Joe was very much summed up in the 1st film. But the fans wanted more and more is what they got. This movie follows the path of the original. Similar if not the same Jokes. It pays homage to the 1st film giving signature words and phrases from Christopher Walken and David Spade. The production quality is there. The score is there. The cinematography and the color could be better in my opinion but that is just one mans opinion. If I had went and paid to see this film at the theater as I did to ""Dumb & Dumber to"" I would have been just as disappointed. However it was a free film and so like the title says. I will take it. I will watch it, I will enjoy it & I am sure I will watch it again. Because sometimes it is just plain good to see a character or characters come to life again on your screen. Whatever screen that may be.",3
81,1,A Rather Solid Musical!,"The users on this board seemed to concur that this was somehow a bad musical but I disagree. I'm really particular when it comes to people just bursting out into song for no apparent reason and this was one of those few times where I actually liked it. I've always enjoyed the Don Quixote story and this was a fantastic turnaround. I can see why some viewers say that the singing wasn't nearly as extraordinary as it was on Broadway but few film adaptations are. Besides the acting was stellar and it drew out extreme emotions of happiness, sorrow, or laughter out of me at times. Though dirty and ragged I found Sophia Lauren to still be beautiful and her body is absolutely perfect in every way I can fathom. Peter O'Toole was great as a crazy old man set forth on an unattainable quest for glory and at the end someone who had to once again face the harsh life of reality. For those of us who haven't seen it on the stage I feel it is a wonderful performance that was thoroughly enjoyable for persons of all ages that are looking to be whisked away by a tiny bit of magic! I'm positive that I'll have some of the songs stuck in my head for at least several days now.Final Blaze:Movies: I don't usually see musicals on the big screen.DVD Purchase: If my budget ever increases to a more desirable level.Rental: An awesome choice!",8
81,3,A great movie,"This is one of my favorite movies of all time. It saddens me that there are those out there who think this movie was horrible. How can you watch O'Toole give his speech: ""Maddest of all: to see life as it is and not as it should be!"" and not be brought to emotion? This movie is not exactly like the theater version. However, if you note who made the screenplay changes, the song changes, etc., it's the same men who worked on the play. There are some good songs cut out. And Peter O'Toole and Sophia Loren are not the world's best singers. But this movie is brilliant. Coco is a wonderful Sancho, I love his voice and his expression. O'Toole is a fabulous actor and I felt like the prisoners in the end singing ""The Impossible Dream."" I own this movie. I encourage anyone who hasn't seen it to go get it and watch it. It has inspired me to try to do better in everything I do, and I often watch it and sing the songs to remind me to ""see life as it should be."" And if this movie needs a defender, I sign up for the job.",10
81,4,blinded by tears,"I must have a major blind spot because I loved this movie in 1972when I saw it the first time and the second and the third time. NowI have become an semi-regularly woeful countenanced manmyself and I love it even more. My heart started to stir watchingO'Toole's speech at the Oscars so I re-rented La Mancha even asit was being removed from the active shelf at my local Hollywoodvideo. I took it home and played it for the youngest of my fivedaughters, eleven year old Mary. She loves musicals as much as Ido. She got into it. I cried again. Sorry. I love this film. Like I said, Imust have a tin ear or a blind spot or goddamn it, maybe I'm right. Man of La Mancha is a 10 plus and a must for all O'Toole fanswhich at this point should be about everybody who loves movies. Let the revisionism begin here. O'Toole and Loren> C'mon",10
81,9,Greatest Movie Ever,"I consider myself somewhat of a movie aficionado, having seen several thousand movies over the past forty years; and I can unequivocably say that ""Man of La Mancha"" is my all-time favorite movie. While some of the familiar criticisms lodged against it are valid, there is still no other movie that can approach its depth or poignancy. I judge a movie by its ability to move me:  to make me laugh, to make me cry, to make me think. This movie tackles one of the greatest themes of life: whether to live in a helpful illusion or live in the harshness of  reality. Don Quixote's story is the ultimate in human heroism, a tragic man of courage struggling to see and live life, not as it is, but as it should be. His unwavering idealism in the face of all-too-familiar cynicism and skepticism is both foolhardy and inspiring. This movie always leaves me, not with tears trickling, but with great sobbing. I strongly recommend it for both your heart and your head.",10
85,9,Holmes First Case,"Sherlock Holmes Baffled (1900) *** (out of 4) This thirty-second film from American Mutoscope and the Biograph Company is the earliest surviving (and perhaps first made) Sherlock Holmes movie. The story is pretty simple as Holmes walks in on a thief and as he goes to grab him he disappears into thin air. Holmes, as the title suggests, is baffled but the thief reappears only to quickly disappear again. At just 30-seconds one shouldn't go into this thing expecting any type of real story and as you can tell by the story what we're basically got is a Georges Melies rip-off but I must admit that I found it entertaining. The actors are unknown I believe but I enjoyed the Holmes here. There's not much of a performance but I thought the actor did a nice job with his short time and the cigar was a nice touch and something that wouldn't be seen in future versions. The magician tricks aren't nearly as good as what you'd see in an actual Melies movie but at the same time they're actually quite a bit better than most rips including some from this very studio. The disappearance trick happens about three times and it's clearly done with the editing but the effect works well enough. While I'm sure many viewers of today would just see this as some sort of generic junk, it's actually pretty interesting in its own right and not to mention the fact that it's probably the first Holmes movie. That there is reason enough to check it out.",2
85,2,A curiosity,"This strange film was produced by American Mutoscope circa 1900, but it was not released 'till 1903. It's only a few seconds film about a burglar who is surprised during his task by a very strange Sherlock Holmes. It is silly and very schematic, but funny and interesting anyway for Sherlock Holmes Films aficionados...",6
