"cID","sChurn","sAge","sIncome","sGender","sEmployment","sRelationship","sSexuality","sGenre","sSelection","sPricing","sSuggestions","sUsability","sRecommend"
"268",NULL,"25-34","50,000-74,999",NULL,"Self","Partnered","Gay/Lesbian","Crime","5","0","1","1","3"
"269",NULL,"25-34","15,000>","Feamle","Part","Partnered","Gay/Lesbian","Biography","7","9","1","8","2"
"270",NULL,"55-64","74,999-99,999","Feamle","Full","Single","Other","Crime","3","7","8","10","4"
"271",NULL,"35-44","15,000-34,999","Male","Student","Married","Bisexual","Adventure","2","6","7","0","8"
"272",NULL,"25-34","15,000>","Non-binary","Part","Married","Heterosexual","Action","8","9","2","6","6"
"273",NULL,"18-24","74,999-99,999",NULL,"Full","Single","Heterosexual","Action","10","4","2","0","5"
"274",NULL,"35-44","15,000>","Feamle","Full",NULL,"Heterosexual","Action","5","1","9","8","4"
"275",NULL,"45-54","50,000-74,999","Feamle","None","Single","Other","Animation","6","4","2","9","1"
"276",NULL,"45-54","15,000-34,999","Feamle","Self",NULL,NULL,"Adventure","10","1","10","9","3"
"277",NULL,"55-64","74,999-99,999","Male","Self","Seperated",NULL,"Action","7","0","8","5","0"
"278",NULL,"35-44","15,000-34,999","Male","Full",NULL,"Bisexual","Crime","10","4","7","5","3"
"279",NULL,"35-44","35,000-49,999","Non-binary","Part","Partnered",NULL,"Biography","3","0","0","4","10"
"280",NULL,"35-44","35,000-49,999","Other","Part","Married","Heterosexual","Animation","1","1","2","8","10"
"281",NULL,"35-44","15,000-34,999","Other","Part","Partnered","Gay/Lesbian","Crime","7","5","4","10","3"
"282",NULL,"45-54","15,000>","Feamle","Student","Partnered","Heterosexual","Action","10","4","5","8","0"
"283",NULL,"18-24","74,999-99,999","Other","Self","Partnered","Other","Crime","0","7","4","7","8"
"284",NULL,"55-64","74,999-99,999","Non-binary","Full","Seperated","Heterosexual","Biography","0","6","10","9","9"
"285",NULL,"45-54","50,000-74,999","Non-binary","Full","Partnered",NULL,"Adventure","4","4","10","4","10"
"286",NULL,"55-64","35,000-49,999","Male","Part",NULL,"Heterosexual","Crime","9","6","7","4","7"
"287",NULL,"18-24","35,000-49,999",NULL,"Part",NULL,"Bisexual","Adventure","5","3","9","8","5"
"288",NULL,"25-34","50,000-74,999","Non-binary","Self","Single","Bisexual","Crime","8","0","0","2","4"
"289",NULL,"18-24","74,999-99,999","Feamle","Student","Single","Bisexual","Animation","6","1","3","1","1"
"290",NULL,"25-34","15,000>","Non-binary","Part","Seperated","Gay/Lesbian","Animation","2","6","8","0","3"
"291",NULL,"18-24","15,000-34,999",NULL,"Part","Married","Heterosexual","Crime","1","7","5","1","2"
"292",NULL,"18-24","50,000-74,999","Male","Part","Single","Heterosexual","Biography","9","3","1","7","3"
"293",NULL,"45-54","50,000-74,999","Feamle","Full","Single","Bisexual","Action","1","7","8","0","9"
"294",NULL,"18-24","74,999-99,999","Other","Student","Partnered","Bisexual","Biography","5","4","10","0","1"
"295",NULL,"25-34","35,000-49,999","Male","Self","Married","Gay/Lesbian","Action","9","6","9","0","8"
"296",NULL,"35-44","50,000-74,999","Non-binary","Full","Married","Heterosexual","Animation","1","0","10","4","4"
"297",NULL,"35-44","74,999-99,999","Other","Part","Seperated","Other","Biography","10","1","0","5","10"
"298",NULL,"25-34","15,000>","Other","None","Single",NULL,"Action","9","1","5","7","10"
"299",NULL,"18-24","15,000>",NULL,"Self","Married",NULL,"Crime","9","9","1","1","6"
"300",NULL,"18-24","15,000-34,999","Non-binary","Self","Seperated","Heterosexual","Biography","5","5","9","0","6"
"301",NULL,"45-54","50,000-74,999","Non-binary","Part","Seperated","Other","Action","3","8","7","1","6"
"302",NULL,"35-44","74,999-99,999","Non-binary","Full","Seperated",NULL,"Adventure","2","10","7","10","7"
"303",NULL,"25-34","15,000-34,999","Feamle","Full","Partnered",NULL,"Biography","4","6","10","8","4"
"304",NULL,"55-64","15,000>","Other","None","Married","Gay/Lesbian","Animation","4","0","4","1","8"
"305",NULL,"18-24","35,000-49,999","Feamle","Full","Seperated",NULL,"Animation","0","3","4","3","3"
"306",NULL,"55-64","15,000>",NULL,"Self","Married",NULL,"Adventure","5","7","5","8","2"
"307",NULL,"35-44","74,999-99,999",NULL,"Full","Partnered","Bisexual","Biography","9","2","1","5","9"
"308",NULL,"18-24","15,000-34,999","Feamle","None","Seperated","Gay/Lesbian","Action","10","6","7","5","10"
"309",NULL,"45-54","15,000>","Male","Student",NULL,"Bisexual","Adventure","10","4","8","5","5"
"310",NULL,"35-44","35,000-49,999","Male","Part",NULL,NULL,"Adventure","6","2","10","3","2"
"311",NULL,"25-34","74,999-99,999","Male","Part",NULL,"Other","Adventure","2","9","1","10","7"
"312",NULL,"45-54","35,000-49,999","Other","Part","Partnered","Other","Action","5","1","6","1","0"
"313",NULL,"55-64","50,000-74,999","Non-binary","Student","Seperated",NULL,"Animation","8","9","0","7","8"
"314",NULL,"45-54","50,000-74,999","Other","None","Married","Other","Biography","8","10","0","3","0"
"315",NULL,"35-44","15,000>","Non-binary","Student","Partnered","Bisexual","Crime","5","1","2","2","7"
"316",NULL,"35-44","35,000-49,999","Male","Part","Partnered","Other","Biography","5","8","7","1","0"
"317",NULL,"45-54","15,000>","Feamle","Self","Seperated",NULL,"Biography","4","6","10","10","4"
"318",NULL,"45-54","15,000-34,999","Non-binary","Part",NULL,"Bisexual","Crime","7","8","1","9","2"
"319",NULL,"18-24","15,000-34,999","Other","Full","Seperated","Bisexual","Action","8","10","7","7","0"
"320",NULL,"45-54","74,999-99,999","Other","Student","Partnered","Heterosexual","Crime","3","9","10","1","3"
"321",NULL,"55-64","15,000>","Feamle","Student","Seperated","Other","Action","6","9","1","3","6"
"322",NULL,"55-64","15,000-34,999","Other","Part","Partnered","Other","Adventure","4","7","1","0","3"
"323",NULL,"45-54","74,999-99,999","Other","Full","Married","Bisexual","Animation","2","10","6","5","1"
"324",NULL,"25-34","35,000-49,999","Other","Full","Seperated","Heterosexual","Action","10","8","7","10","3"
"325",NULL,"18-24","15,000>","Male","None","Single","Gay/Lesbian","Animation","7","10","3","2","6"
"326",NULL,"35-44","50,000-74,999",NULL,"Part","Married","Gay/Lesbian","Crime","2","0","9","7","3"
"327",NULL,"25-34","15,000-34,999","Feamle","Full","Partnered","Other","Adventure","0","6","10","6","8"
"328",NULL,"35-44","74,999-99,999","Non-binary","Student",NULL,"Heterosexual","Adventure","2","5","4","10","2"
"329",NULL,"55-64","35,000-49,999",NULL,"Part","Single",NULL,"Action","5","10","7","8","2"
"330",NULL,"35-44","35,000-49,999","Feamle","None","Married","Heterosexual","Animation","5","1","4","2","4"
"331",NULL,"25-34","50,000-74,999","Feamle","Full","Seperated","Other","Action","3","7","1","9","10"
"332",NULL,"18-24","15,000-34,999","Feamle","Self",NULL,"Heterosexual","Crime","8","8","4","7","7"
"333",NULL,"55-64","15,000-34,999","Male","Part",NULL,"Heterosexual","Action","5","6","5","8","1"
"334",NULL,"25-34","15,000-34,999","Non-binary","Full",NULL,NULL,"Crime","0","8","8","3","6"
"335",NULL,"35-44","35,000-49,999","Non-binary","Part",NULL,"Other","Crime","1","3","4","8","4"
"336",NULL,"25-34","15,000-34,999",NULL,"Part","Single","Heterosexual","Crime","10","8","3","5","8"
"337",NULL,"35-44","15,000>","Male","Part","Married","Gay/Lesbian","Adventure","10","5","4","0","4"
"338",NULL,"55-64","15,000-34,999","Feamle","None",NULL,"Heterosexual","Crime","4","7","9","9","7"
"339",NULL,"45-54","15,000-34,999","Other","Part","Single","Heterosexual","Adventure","3","4","4","2","10"
"340",NULL,"55-64","50,000-74,999","Non-binary","Self","Seperated","Bisexual","Crime","10","10","9","10","7"
"341",NULL,"45-54","50,000-74,999","Non-binary","Full",NULL,NULL,"Crime","8","9","10","8","4"
"342",NULL,"25-34","15,000-34,999","Feamle","Self","Partnered","Other","Crime","6","5","7","3","8"
"343",NULL,"45-54","74,999-99,999","Non-binary","Student","Partnered","Heterosexual","Adventure","3","1","8","4","9"
"344",NULL,"25-34","15,000>","Non-binary","Part","Single","Heterosexual","Biography","1","5","5","7","1"
"345",NULL,"55-64","15,000>","Other","Student","Single","Heterosexual","Biography","9","7","9","5","10"
"346",NULL,"18-24","74,999-99,999","Non-binary","Full","Seperated","Heterosexual","Crime","4","8","2","0","3"
"347",NULL,"45-54","35,000-49,999","Male","Part","Partnered","Gay/Lesbian","Action","4","0","2","5","0"
"348",NULL,"45-54","15,000-34,999","Feamle","Self","Single","Other","Adventure","9","7","3","10","9"
"349",NULL,"55-64","74,999-99,999","Other","Full","Single","Other","Biography","9","6","9","6","2"
"350",NULL,"55-64","15,000>","Non-binary","Part","Partnered","Gay/Lesbian","Action","2","5","4","9","3"
"351",NULL,"55-64","35,000-49,999","Feamle","Part","Partnered",NULL,"Action","2","8","1","9","0"
"352",NULL,"18-24","15,000-34,999","Non-binary","Student","Married","Other","Animation","8","10","8","10","1"
"353",NULL,"55-64","50,000-74,999","Non-binary","Student","Single","Bisexual","Crime","4","3","0","6","10"
"354",NULL,"45-54","15,000>",NULL,"Part","Partnered","Heterosexual","Biography","0","0","1","6","5"
"355",NULL,"55-64","15,000>","Male","Self","Partnered","Heterosexual","Crime","0","7","8","4","3"
"356",NULL,"55-64","15,000-34,999","Non-binary","Full","Partnered","Bisexual","Biography","5","10","6","2","5"
"357",NULL,"35-44","74,999-99,999","Non-binary","Self","Partnered","Gay/Lesbian","Biography","8","9","6","2","9"
"358",NULL,"18-24","15,000>","Other","Student","Married","Heterosexual","Biography","0","5","4","3","0"
"359",NULL,"45-54","15,000>","Other","Full","Partnered","Other","Crime","4","8","2","7","10"
"360",NULL,"18-24","74,999-99,999","Non-binary","Full","Single","Bisexual","Action","1","9","10","1","7"
"361",NULL,"35-44","15,000>","Other","Part","Single","Gay/Lesbian","Crime","0","6","8","8","10"
"362",NULL,"35-44","15,000-34,999","Feamle","None","Single","Heterosexual","Action","5","6","9","0","5"
"363",NULL,"35-44","74,999-99,999","Non-binary","None","Partnered","Other","Adventure","1","1","6","6","10"
"364",NULL,"18-24","74,999-99,999","Male","None","Seperated","Heterosexual","Adventure","7","10","7","2","2"
"365",NULL,"45-54","74,999-99,999","Feamle","Student",NULL,"Gay/Lesbian","Adventure","2","4","8","0","0"
"366",NULL,"25-34","74,999-99,999","Other","None",NULL,NULL,"Action","8","4","4","2","7"
"367",NULL,"45-54","15,000-34,999","Other","Part","Partnered","Heterosexual","Action","4","0","5","6","7"
"368",NULL,"45-54","15,000-34,999","Non-binary","Part","Married","Bisexual","Animation","10","1","3","6","10"
"369",NULL,"45-54","15,000>","Non-binary","Student","Single","Gay/Lesbian","Adventure","8","9","1","8","9"
"370",NULL,"18-24","50,000-74,999","Feamle","Self","Partnered","Other","Action","9","1","1","1","4"
"371",NULL,"18-24","15,000>",NULL,"Part","Partnered","Gay/Lesbian","Action","0","7","6","8","9"
"372",NULL,"45-54","74,999-99,999","Non-binary","Student",NULL,"Bisexual","Adventure","1","3","5","7","8"
"373",NULL,"35-44","50,000-74,999","Male","Student",NULL,"Heterosexual","Animation","2","0","3","7","6"
"374",NULL,"25-34","35,000-49,999","Other","Full",NULL,NULL,"Adventure","2","4","7","9","3"
"375",NULL,"55-64","74,999-99,999",NULL,"Student","Single","Heterosexual","Action","1","9","6","0","1"
"376",NULL,"55-64","35,000-49,999","Non-binary","Self",NULL,"Heterosexual","Action","2","2","4","4","9"
"377",NULL,"45-54","15,000>","Non-binary","Student",NULL,"Bisexual","Action","4","3","1","10","4"
"378",NULL,"55-64","50,000-74,999","Feamle","None","Partnered","Bisexual","Animation","3","7","1","8","2"
"379",NULL,"35-44","15,000>",NULL,"Part","Married","Other","Action","0","2","5","0","10"
"380",NULL,"25-34","74,999-99,999",NULL,"None","Seperated","Heterosexual","Action","0","4","6","7","2"
"381",NULL,"55-64","74,999-99,999","Male","Full","Married","Other","Adventure","7","4","10","10","0"
"382",NULL,"18-24","50,000-74,999","Non-binary","Student","Married","Bisexual","Action","5","2","9","5","10"
"383",NULL,"55-64","50,000-74,999","Male","Self","Single","Heterosexual","Animation","4","5","0","2","5"
"384",NULL,"18-24","50,000-74,999",NULL,"None","Married","Heterosexual","Action","3","6","7","4","1"
"385",NULL,"45-54","74,999-99,999","Male","Part","Married","Gay/Lesbian","Adventure","3","8","5","6","4"
"386",NULL,"35-44","35,000-49,999","Other","None",NULL,"Gay/Lesbian","Adventure","4","2","4","4","4"
"387",NULL,"35-44","15,000-34,999","Other","None","Seperated","Other","Biography","4","7","1","5","8"
"388",NULL,"25-34","15,000>","Feamle","Part","Single","Other","Biography","0","10","7","4","8"
"389",NULL,"18-24","50,000-74,999","Non-binary","Student","Married","Other","Action","10","8","5","5","1"
"390",NULL,"35-44","35,000-49,999","Feamle","None","Single","Bisexual","Action","3","2","1","1","4"
"391",NULL,"35-44","35,000-49,999","Male","Self","Partnered","Gay/Lesbian","Animation","4","8","3","2","2"
"392",NULL,"18-24","50,000-74,999","Male","None","Married",NULL,"Biography","1","8","5","3","0"
"393",NULL,"55-64","50,000-74,999","Feamle","None","Single","Heterosexual","Biography","0","7","9","5","6"
"394",NULL,"45-54","35,000-49,999",NULL,"Full","Partnered","Gay/Lesbian","Action","5","0","4","6","4"
"395",NULL,"25-34","74,999-99,999","Male","None",NULL,"Gay/Lesbian","Animation","0","9","1","6","6"
"396",NULL,"55-64","15,000>",NULL,"Full","Partnered","Gay/Lesbian","Animation","7","5","4","3","4"
"397",NULL,"45-54","35,000-49,999",NULL,"None","Seperated","Heterosexual","Crime","3","8","3","4","6"
"398",NULL,"25-34","35,000-49,999","Other","None","Partnered","Gay/Lesbian","Animation","9","7","3","3","2"
"399",NULL,"18-24","15,000-34,999","Non-binary","None",NULL,"Other","Action","10","6","9","4","9"
"400",NULL,"55-64","15,000>","Male","Student","Married","Bisexual","Biography","1","2","3","5","6"
"401",NULL,"55-64","35,000-49,999","Non-binary","None",NULL,NULL,"Action","5","3","2","1","7"
"402",NULL,"18-24","15,000>",NULL,"Self","Married",NULL,"Animation","6","3","0","0","9"
"403",NULL,"35-44","15,000-34,999","Feamle","Full","Married",NULL,"Animation","1","5","10","4","6"
"404",NULL,"18-24","15,000-34,999","Non-binary","None","Married","Heterosexual","Adventure","0","6","6","0","1"
"405",NULL,"35-44","15,000>","Other","Self",NULL,"Gay/Lesbian","Crime","5","4","4","10","6"
"406",NULL,"45-54","15,000>","Other","Self","Single","Gay/Lesbian","Action","1","2","6","6","10"
"407",NULL,"55-64","50,000-74,999",NULL,"None","Seperated","Gay/Lesbian","Action","4","8","5","10","5"
"408",NULL,"18-24","35,000-49,999","Feamle","None",NULL,"Heterosexual","Biography","5","9","9","9","7"
"409",NULL,"25-34","74,999-99,999","Non-binary","Self","Married",NULL,"Adventure","0","9","10","6","8"
"410",NULL,"35-44","50,000-74,999","Non-binary","Full","Married","Heterosexual","Adventure","6","8","10","0","5"
"411",NULL,"18-24","50,000-74,999",NULL,"Full","Single","Other","Crime","7","9","0","1","7"
"412",NULL,"55-64","35,000-49,999","Male","Part","Seperated",NULL,"Crime","0","6","2","2","3"
"413",NULL,"55-64","35,000-49,999","Feamle","Part","Single",NULL,"Crime","8","6","8","1","7"
"414",NULL,"25-34","35,000-49,999","Other","None","Single",NULL,"Adventure","3","4","5","8","10"
"415",NULL,"55-64","50,000-74,999","Non-binary","Full","Partnered","Heterosexual","Biography","8","9","5","9","10"
"416",NULL,"18-24","15,000>",NULL,"Full",NULL,NULL,"Animation","6","5","1","7","0"
"417",NULL,"35-44","15,000>","Feamle","Student",NULL,"Other","Animation","10","3","4","7","7"
"418",NULL,"25-34","50,000-74,999","Other","Self","Partnered","Bisexual","Adventure","9","2","4","7","8"
"419",NULL,"45-54","15,000>","Other","Part",NULL,"Other","Biography","6","3","10","10","8"
"420",NULL,"18-24","74,999-99,999","Male","Part","Partnered","Heterosexual","Animation","3","2","4","10","7"
"421",NULL,"35-44","74,999-99,999","Male","Self","Single","Bisexual","Crime","9","5","10","0","3"
"422",NULL,"55-64","15,000>","Male","None","Partnered",NULL,"Adventure","4","0","5","9","10"
"423",NULL,"45-54","35,000-49,999","Other","None","Partnered","Gay/Lesbian","Biography","2","3","2","7","5"
"424",NULL,"18-24","15,000-34,999","Other","Full","Single","Other","Biography","0","9","2","9","8"
"425",NULL,"35-44","74,999-99,999","Feamle","Student",NULL,"Bisexual","Adventure","0","4","7","3","8"
"426",NULL,"25-34","15,000-34,999","Feamle","Self","Single",NULL,"Animation","0","7","10","3","1"
"427",NULL,"35-44","15,000>","Male","Part","Single","Other","Action","7","6","0","7","7"
"428",NULL,"35-44","74,999-99,999","Non-binary","None","Partnered","Other","Action","6","5","10","0","7"
"429",NULL,"55-64","50,000-74,999","Male","None","Seperated","Gay/Lesbian","Action","7","1","4","9","0"
"430",NULL,"35-44","15,000-34,999","Non-binary","None","Married","Other","Adventure","3","5","6","10","6"
"431",NULL,"18-24","50,000-74,999","Male","Self","Seperated","Heterosexual","Action","1","8","4","8","5"
"432",NULL,"25-34","15,000-34,999",NULL,"None","Partnered",NULL,"Biography","7","2","8","10","0"
"433",NULL,"18-24","35,000-49,999","Male","Part","Partnered","Gay/Lesbian","Crime","5","3","5","4","1"
"434",NULL,"25-34","35,000-49,999","Male","Full","Married",NULL,"Biography","1","0","3","9","6"
"435",NULL,"35-44","74,999-99,999","Other","Student","Single","Other","Animation","2","4","0","5","5"
"436",NULL,"55-64","15,000>",NULL,"Student","Seperated","Bisexual","Crime","5","6","10","9","1"
"437",NULL,"18-24","15,000-34,999","Non-binary","Student",NULL,"Gay/Lesbian","Crime","10","10","6","1","3"
"438",NULL,"45-54","15,000-34,999","Non-binary","Part","Seperated","Bisexual","Adventure","2","9","2","5","4"
"439",NULL,"45-54","50,000-74,999","Male","Full","Seperated","Heterosexual","Adventure","1","10","7","0","4"
"440",NULL,"45-54","35,000-49,999","Other","Student","Married","Heterosexual","Action","8","0","7","9","10"
"441",NULL,"35-44","74,999-99,999",NULL,"None","Married","Other","Crime","6","10","6","3","2"
"442",NULL,"55-64","50,000-74,999","Other","Full","Seperated","Gay/Lesbian","Animation","9","3","7","0","10"
"443",NULL,"35-44","50,000-74,999",NULL,"Student","Married","Heterosexual","Crime","3","2","6","6","7"
"444",NULL,"18-24","15,000>","Other","Part","Single","Bisexual","Action","0","1","0","1","9"
"445",NULL,"35-44","50,000-74,999","Other","Self","Married","Gay/Lesbian","Action","6","6","10","5","3"
"446",NULL,"18-24","50,000-74,999","Other","None","Seperated","Bisexual","Action","7","9","7","7","7"
"447",NULL,"18-24","50,000-74,999","Other","Part","Single",NULL,"Crime","8","7","6","7","8"
"448",NULL,"35-44","50,000-74,999",NULL,"Student",NULL,"Heterosexual","Animation","5","9","5","8","2"
"449",NULL,"45-54","15,000>","Feamle","Full","Seperated","Other","Animation","6","0","4","5","8"
"450",NULL,"55-64","35,000-49,999","Feamle","None","Seperated","Heterosexual","Action","6","7","0","0","6"
"451",NULL,"18-24","74,999-99,999","Non-binary","Self","Married","Gay/Lesbian","Crime","10","0","1","2","6"
"452",NULL,"18-24","15,000-34,999","Male","Self",NULL,"Bisexual","Crime","10","0","10","10","8"
"453",NULL,"55-64","35,000-49,999",NULL,"Self","Partnered","Heterosexual","Crime","5","0","1","5","9"
"454",NULL,"45-54","74,999-99,999","Other","Self","Married","Heterosexual","Crime","8","1","1","8","4"
"455",NULL,"35-44","74,999-99,999","Male","Self","Seperated","Bisexual","Action","0","5","0","8","3"
"456",NULL,"35-44","15,000>","Feamle","None","Single","Gay/Lesbian","Biography","3","6","6","10","9"
"457",NULL,"45-54","15,000>","Feamle","Student","Single","Other","Animation","1","7","7","0","4"
"458",NULL,"55-64","74,999-99,999","Other","Full",NULL,"Bisexual","Adventure","2","10","9","5","0"
"459",NULL,"35-44","15,000-34,999","Other","Full","Single","Bisexual","Adventure","9","8","5","10","9"
"460",NULL,"25-34","74,999-99,999","Non-binary","Student","Seperated",NULL,"Biography","9","8","4","9","8"
"461",NULL,"18-24","35,000-49,999","Male","Student",NULL,NULL,"Animation","4","8","10","5","10"
"462",NULL,"35-44","15,000-34,999","Feamle","Full","Partnered",NULL,"Animation","9","3","3","1","10"
"463",NULL,"35-44","35,000-49,999","Male","Part","Seperated","Gay/Lesbian","Adventure","0","8","9","2","2"
"464",NULL,"25-34","15,000-34,999","Non-binary","Part","Seperated","Gay/Lesbian","Adventure","5","6","2","7","0"
"465",NULL,"25-34","15,000>","Feamle","Part","Seperated",NULL,"Crime","4","5","3","7","8"
"466",NULL,"45-54","74,999-99,999","Male","Self","Partnered","Bisexual","Action","10","9","4","7","1"
"467",NULL,"55-64","50,000-74,999","Other","Part","Partnered","Heterosexual","Biography","2","2","6","10","5"
"468",NULL,"45-54","74,999-99,999","Other","Full",NULL,"Other","Biography","8","5","7","0","10"
"469",NULL,"18-24","50,000-74,999","Other","None",NULL,"Gay/Lesbian","Animation","4","2","5","1","1"
"470",NULL,"18-24","15,000-34,999","Non-binary","Student","Married","Other","Adventure","5","8","8","0","9"
"471",NULL,"35-44","35,000-49,999","Other","Self","Seperated",NULL,"Action","1","4","1","10","1"
"472",NULL,"55-64","15,000-34,999","Feamle","Part",NULL,"Other","Adventure","8","5","4","1","3"
"473",NULL,"55-64","74,999-99,999","Non-binary","Self","Single","Gay/Lesbian","Biography","10","2","6","2","10"
"474",NULL,"18-24","50,000-74,999","Feamle","Self","Seperated","Heterosexual","Action","8","8","9","1","6"
"475",NULL,"45-54","15,000>","Feamle","None",NULL,"Gay/Lesbian","Crime","3","2","2","8","10"
"476",NULL,"25-34","35,000-49,999","Other","Student","Partnered",NULL,"Animation","5","3","4","1","10"
"477",NULL,"45-54","15,000-34,999","Male","Full","Seperated","Bisexual","Crime","7","2","9","7","5"
"478",NULL,"55-64","15,000>","Non-binary","Part","Partnered","Gay/Lesbian","Crime","1","1","6","5","9"
"479",NULL,"55-64","35,000-49,999","Male","Part","Single","Bisexual","Adventure","0","7","9","7","9"
"480",NULL,"18-24","15,000>","Male","Self","Married","Other","Biography","1","3","1","4","3"
"481",NULL,"55-64","35,000-49,999",NULL,"Full","Single","Heterosexual","Crime","10","8","8","10","3"
"482",NULL,"55-64","50,000-74,999","Feamle","Full","Partnered","Bisexual","Crime","1","9","10","0","8"
"483",NULL,"55-64","50,000-74,999",NULL,"Student","Married","Heterosexual","Crime","0","10","10","7","3"
"484",NULL,"18-24","15,000-34,999","Non-binary","Part","Married","Bisexual","Action","3","5","4","2","5"
"485",NULL,"45-54","35,000-49,999","Non-binary","Full","Single","Heterosexual","Biography","5","5","2","6","8"
"486",NULL,"25-34","15,000-34,999","Male","Student","Partnered","Heterosexual","Adventure","6","7","7","7","1"
"487",NULL,"45-54","15,000-34,999","Feamle","Student","Single","Heterosexual","Action","10","8","8","4","6"
"488",NULL,"18-24","15,000>","Feamle","None","Married","Heterosexual","Crime","9","10","0","0","1"
"489",NULL,"45-54","35,000-49,999","Male","Self",NULL,"Gay/Lesbian","Adventure","5","3","8","4","8"
"490",NULL,"35-44","50,000-74,999","Other","None",NULL,"Heterosexual","Biography","5","7","7","0","3"
"491",NULL,"45-54","15,000>","Feamle","Self","Single","Bisexual","Animation","6","0","8","8","4"
"492",NULL,"25-34","50,000-74,999","Male","Full","Partnered",NULL,"Crime","8","1","2","6","5"
"493",NULL,"18-24","15,000>","Non-binary","Full","Partnered","Other","Crime","0","2","3","4","4"
"494",NULL,"55-64","35,000-49,999","Other","None","Single",NULL,"Adventure","6","0","6","5","4"
"495",NULL,"35-44","74,999-99,999","Other","Part","Married","Heterosexual","Biography","10","2","2","7","2"
"496",NULL,"45-54","35,000-49,999","Other","Part","Single","Heterosexual","Action","5","0","7","10","3"
"497",NULL,"18-24","74,999-99,999","Non-binary","Full","Married","Heterosexual","Animation","0","1","10","9","5"
"498",NULL,"55-64","50,000-74,999","Other","Student",NULL,NULL,"Crime","1","4","2","9","2"
"499",NULL,"45-54","74,999-99,999","Feamle","Student","Single","Heterosexual","Animation","2","3","3","0","4"
"500",NULL,"55-64","35,000-49,999","Feamle","None","Partnered","Gay/Lesbian","Biography","1","4","3","8","5"
"501",NULL,"35-44","74,999-99,999",NULL,"None","Seperated","Gay/Lesbian","Animation","10","5","2","1","1"
"502",NULL,"25-34","50,000-74,999",NULL,"None","Partnered",NULL,"Biography","9","3","8","2","10"
"503",NULL,"25-34","15,000>","Other","Part","Partnered","Heterosexual","Biography","3","6","2","3","0"
"504",NULL,"55-64","15,000-34,999",NULL,"Student",NULL,"Gay/Lesbian","Crime","9","4","10","1","2"
"505",NULL,"25-34","74,999-99,999","Feamle","Part",NULL,"Bisexual","Animation","0","9","8","1","5"
"506",NULL,"18-24","50,000-74,999","Other","Part",NULL,"Gay/Lesbian","Adventure","7","1","2","10","5"
"507",NULL,"18-24","35,000-49,999","Feamle","None","Single","Heterosexual","Adventure","0","3","10","0","8"
"508",NULL,"55-64","74,999-99,999","Male","Self","Seperated",NULL,"Biography","9","8","3","4","8"
"509",NULL,"45-54","15,000-34,999",NULL,"None","Seperated","Other","Action","9","5","9","7","2"
"510",NULL,"55-64","15,000-34,999","Non-binary","None","Married",NULL,"Animation","4","6","5","3","10"
"511",NULL,"35-44","74,999-99,999",NULL,"Full","Seperated",NULL,"Adventure","3","4","5","6","2"
"512",NULL,"35-44","35,000-49,999","Male","Full",NULL,"Other","Action","5","6","5","7","3"
"513",NULL,"18-24","50,000-74,999",NULL,"Self",NULL,"Heterosexual","Biography","9","5","1","7","10"
"514",NULL,"45-54","35,000-49,999","Other","Student","Married","Heterosexual","Action","5","1","0","8","3"
"515",NULL,"45-54","15,000-34,999","Non-binary","Self","Married",NULL,"Action","3","4","0","4","8"
"516",NULL,"35-44","15,000-34,999","Non-binary","None","Seperated","Other","Adventure","8","9","9","2","8"
"517",NULL,"18-24","35,000-49,999","Feamle","Self","Partnered","Other","Action","10","5","10","10","9"
"518",NULL,"18-24","15,000>","Non-binary","Full","Single","Other","Adventure","1","8","2","8","9"
"519",NULL,"55-64","15,000-34,999","Male","Student","Seperated","Heterosexual","Action","8","7","10","2","1"
"520",NULL,"55-64","74,999-99,999",NULL,"Self","Partnered","Heterosexual","Action","1","7","4","10","5"
"521",NULL,"45-54","74,999-99,999",NULL,"Part","Seperated","Heterosexual","Action","5","5","7","8","1"
"522",NULL,"55-64","35,000-49,999","Other","Student","Single","Other","Action","3","9","10","4","8"
"523",NULL,"35-44","15,000>","Feamle","Full",NULL,"Gay/Lesbian","Action","7","8","7","6","7"
"524",NULL,"25-34","15,000-34,999","Male","Self","Married",NULL,"Animation","4","10","10","2","1"
"525",NULL,"25-34","15,000-34,999","Feamle","None","Single","Bisexual","Crime","0","8","7","1","8"
"526",NULL,"25-34","15,000>","Other","None","Seperated","Other","Biography","4","3","7","4","3"
"527",NULL,"18-24","15,000>","Feamle","Student","Partnered","Other","Crime","4","10","4","4","9"
"528",NULL,"35-44","50,000-74,999",NULL,"Self","Partnered","Other","Animation","7","10","9","0","1"
"529",NULL,"25-34","74,999-99,999","Non-binary","Student","Seperated","Other","Adventure","5","4","5","0","8"
"530",NULL,"18-24","35,000-49,999","Feamle","Full","Single","Heterosexual","Action","9","3","5","7","7"
"531",NULL,"18-24","74,999-99,999","Non-binary","Self","Partnered",NULL,"Adventure","3","3","8","6","10"
"532",NULL,"55-64","15,000-34,999","Other","None","Seperated","Bisexual","Adventure","8","1","2","7","10"
"533",NULL,"55-64","15,000-34,999","Other","Student",NULL,"Heterosexual","Action","3","5","0","8","0"
"534",NULL,"35-44","74,999-99,999","Male","None","Seperated",NULL,"Crime","3","8","0","7","4"
"535",NULL,"25-34","15,000-34,999","Other","None","Seperated","Heterosexual","Animation","2","6","10","2","2"
