cID,sAge,sIncome,sGender,sEmployment,sRelationship,sChurn
630,45-54,0-15000,Feamle,,Seperated,0
631,65-100,50000-74999,Male,,Partnered,0
632,65-100,,Non-binary,Self,Married,0
633,25-34,100000-200000,,Student,Single,0
634,25-34,35000-49999,Non-binary,Self,Single,0
635,,,,Self,,0
636,,0-15000,Male,Self,Single,0
637,55-64,74999-99999,Male,Full,Single,1
638,45-54,74999-99999,Non-binary,None,Seperated,0
639,,0-15000,Non-binary,Full,Married,0
640,55-64,0-15000,,,Married,0
641,25-34,74999-99999,Feamle,Part,Married,0
642,65-100,,Non-binary,None,,0
643,45-54,0-15000,Other,Part,,0
644,55-64,74999-99999,Feamle,Full,Married,1
645,,74999-99999,Other,Part,Seperated,0
646,45-54,15000-34999,Other,Student,Single,0
647,45-54,74999-99999,Feamle,Self,Seperated,0
648,35-44,50000-74999,Other,Self,Partnered,0
649,45-54,50000-74999,,Part,,0
650,45-54,74999-99999,Non-binary,Student,,1
651,45-54,15000-34999,Feamle,Part,Partnered,0
652,55-64,74999-99999,Other,,Seperated,1
653,25-34,74999-99999,Other,Full,Seperated,0
654,,74999-99999,Male,Full,,1
655,65-100,35000-49999,Non-binary,Full,Partnered,0
656,65-100,100000-200000,Male,Part,Partnered,0
657,35-44,74999-99999,,Part,Partnered,0
658,25-34,50000-74999,Other,None,Seperated,0
659,65-100,15000-34999,Other,,Seperated,0
660,,15000-34999,Non-binary,,Seperated,1
661,18-24,35000-49999,Other,Student,Partnered,0
662,18-24,100000-200000,Non-binary,Part,,0
663,45-54,,Feamle,,Partnered,0
664,25-34,35000-49999,Male,Full,,0
665,55-64,35000-49999,Non-binary,Full,Partnered,1
666,,0-15000,Male,Self,Single,0
667,65-100,35000-49999,Feamle,Student,Partnered,1
668,45-54,50000-74999,Feamle,,Married,0
669,18-24,74999-99999,,,,0
670,,0-15000,Other,Student,Single,0
671,25-34,0-15000,,Student,Partnered,1
672,35-44,,Other,,,1
673,18-24,0-15000,Feamle,None,,0
674,55-64,0-15000,,Full,Married,0
675,45-54,100000-200000,Male,Self,Partnered,1
676,18-24,100000-200000,Feamle,,Partnered,1
677,65-100,0-15000,Male,Part,Partnered,1
678,18-24,15000-34999,,Part,,1
679,,100000-200000,,Full,Seperated,1
680,65-100,74999-99999,Feamle,Student,,1
681,65-100,100000-200000,Male,Self,Seperated,1
682,65-100,50000-74999,Feamle,Part,Seperated,1
683,18-24,0-15000,Other,Part,Married,1
684,65-100,74999-99999,Other,,,1
685,25-34,0-15000,,Full,Single,1
686,55-64,,Non-binary,Part,Seperated,1
687,55-64,35000-49999,,Self,Seperated,1
688,18-24,,Non-binary,Part,,0
689,55-64,74999-99999,Male,,Seperated,0
690,45-54,100000-200000,Male,Self,Partnered,1
691,25-34,74999-99999,Male,Student,Seperated,1
692,,50000-74999,,,Single,1
693,55-64,74999-99999,Other,,Seperated,0
694,45-54,15000-34999,Feamle,Student,Single,0
695,65-100,50000-74999,Feamle,,,0
696,25-34,100000-200000,,Full,Seperated,0
697,35-44,35000-49999,Feamle,Part,,1
698,25-34,74999-99999,Male,Part,Partnered,0
699,18-24,,Non-binary,Full,,1
700,65-100,50000-74999,Non-binary,,,0
701,,100000-200000,Other,Self,,0
702,25-34,,Other,Self,Partnered,0
703,25-34,,,Full,Seperated,0
704,65-100,74999-99999,,Part,,0
705,45-54,35000-49999,Non-binary,Self,Partnered,0
706,55-64,35000-49999,Feamle,Student,Married,0
707,35-44,100000-200000,Male,Full,Married,0
708,,100000-200000,Feamle,,Single,0
709,18-24,50000-74999,Non-binary,Student,Married,1
710,45-54,35000-49999,,Full,Seperated,1
711,18-24,15000-34999,Other,None,Single,0
712,25-34,15000-34999,Other,Part,Married,0
713,55-64,74999-99999,,,,0
714,55-64,100000-200000,Non-binary,None,Seperated,1
715,45-54,15000-34999,,,Partnered,0
716,,,Other,Student,Single,1
717,35-44,50000-74999,Male,Self,Seperated,1
718,65-100,,Other,Self,Partnered,1
719,65-100,15000-34999,Feamle,Student,Seperated,0
720,45-54,35000-49999,Feamle,None,Partnered,0
721,25-34,15000-34999,,Full,Seperated,0
722,25-34,50000-74999,,Part,Seperated,0
723,,15000-34999,Non-binary,None,Partnered,0
724,18-24,35000-49999,,Student,,0
725,18-24,35000-49999,,Student,Partnered,1
726,65-100,0-15000,Feamle,Part,Married,1
727,65-100,35000-49999,Feamle,,Seperated,1
728,45-54,,Non-binary,Full,Married,0
729,55-64,15000-34999,Feamle,Student,Single,0
730,45-54,74999-99999,Non-binary,Part,Partnered,0
731,35-44,0-15000,Feamle,Student,Partnered,0
732,45-54,15000-34999,Male,,Single,0
733,35-44,100000-200000,Other,Part,Single,0
734,65-100,100000-200000,,None,Partnered,0
735,45-54,0-15000,Non-binary,,Single,0
736,65-100,,Non-binary,Part,,0
737,25-34,74999-99999,Other,,Married,0
738,25-34,15000-34999,Other,Part,Single,0
739,18-24,50000-74999,Feamle,Student,Partnered,0
740,18-24,74999-99999,,,Single,1
741,18-24,,Feamle,None,Seperated,0
742,,0-15000,,Self,Seperated,0
743,18-24,50000-74999,,Part,Married,0
744,35-44,100000-200000,,None,Single,0
745,25-34,35000-49999,Feamle,Part,,1
746,65-100,,,None,Married,0
747,,50000-74999,Male,,,0
748,25-34,,Male,None,,0
749,,50000-74999,Other,Part,Seperated,1
750,35-44,74999-99999,Other,Part,Partnered,1
751,18-24,0-15000,Feamle,Full,,0
752,,50000-74999,Feamle,None,Married,0
753,35-44,,Feamle,Part,,0
754,55-64,0-15000,Other,Full,Partnered,0
755,45-54,0-15000,Non-binary,,,0
756,55-64,100000-200000,Male,Part,Married,0
757,45-54,74999-99999,Feamle,,Partnered,0
758,18-24,50000-74999,Male,Self,,1
759,25-34,,Male,Self,Partnered,0
760,,15000-34999,Other,Part,Single,0
761,35-44,,,Self,,1
762,35-44,50000-74999,Non-binary,Student,Partnered,0
763,18-24,74999-99999,Other,Full,,0
764,45-54,0-15000,Non-binary,Part,Married,0
765,,15000-34999,Feamle,Self,Seperated,1
766,18-24,15000-34999,,,Seperated,1
767,35-44,74999-99999,Male,Student,Seperated,1
768,,74999-99999,Feamle,Self,Partnered,1
769,35-44,74999-99999,Male,Student,Partnered,1
770,65-100,35000-49999,Non-binary,None,,1
771,25-34,,,,,0
772,55-64,0-15000,,Part,,1
773,35-44,0-15000,,Self,Partnered,1
774,25-34,100000-200000,Male,Self,Single,1
775,25-34,100000-200000,Feamle,Student,Single,0
776,18-24,35000-49999,,Full,Seperated,1
777,25-34,0-15000,Non-binary,Self,Seperated,1
778,65-100,35000-49999,Other,Full,Partnered,0
779,55-64,15000-34999,Feamle,Self,Married,1
780,55-64,100000-200000,Feamle,Part,Partnered,1
781,55-64,50000-74999,,Student,Single,0
782,55-64,50000-74999,Male,,,0
783,25-34,50000-74999,Other,Self,Seperated,0
784,,,Non-binary,Student,Married,1
785,45-54,,Feamle,None,Seperated,0
786,35-44,74999-99999,,,Single,0
787,65-100,50000-74999,Non-binary,Student,Single,0
788,65-100,100000-200000,Male,,Seperated,0
789,25-34,74999-99999,,Part,Partnered,1
790,45-54,0-15000,Other,None,Partnered,0
791,65-100,15000-34999,Non-binary,Student,Single,0
792,25-34,74999-99999,Other,Student,Married,0
793,25-34,15000-34999,Male,Full,,0
794,18-24,15000-34999,Other,,Single,1
795,25-34,35000-49999,,None,Married,0
796,45-54,,Non-binary,Student,Single,0
797,25-34,74999-99999,Non-binary,,Partnered,0
798,35-44,100000-200000,Non-binary,,Married,0
799,18-24,74999-99999,Non-binary,Full,Married,0
800,55-64,15000-34999,Non-binary,,Single,1
801,45-54,35000-49999,,,Married,0
802,,74999-99999,Male,Student,Married,0
803,,100000-200000,Non-binary,Self,Seperated,0
804,,,Non-binary,Full,Married,0
805,35-44,15000-34999,,,Single,1
806,65-100,100000-200000,,Full,,0
807,65-100,100000-200000,Feamle,Part,Married,1
808,55-64,0-15000,,,,0
809,18-24,35000-49999,Other,None,,1
810,35-44,0-15000,Male,,Single,0
811,18-24,50000-74999,Feamle,None,Partnered,0
812,55-64,100000-200000,,,,1
813,65-100,0-15000,Other,None,Single,0
814,,15000-34999,Male,Student,Seperated,0
815,55-64,15000-34999,Feamle,,Partnered,0
816,45-54,35000-49999,Other,Part,,0
817,25-34,74999-99999,,Part,Seperated,0
818,,100000-200000,Male,,Partnered,1
819,45-54,0-15000,Non-binary,Self,Seperated,0
820,45-54,50000-74999,Male,Self,Single,0
821,55-64,50000-74999,Non-binary,Self,Seperated,0
822,65-100,35000-49999,Non-binary,Student,Married,0
823,25-34,0-15000,Feamle,,,0
824,35-44,,,Full,Partnered,1
825,18-24,100000-200000,,Self,Partnered,0
826,35-44,0-15000,Male,Part,Married,0
827,,0-15000,Other,,Seperated,1
828,,74999-99999,Other,Part,Married,1
829,,15000-34999,,,Married,0
830,35-44,35000-49999,Other,,Married,0
831,65-100,0-15000,Other,Student,Partnered,0
832,55-64,100000-200000,Male,,Single,0
833,25-34,50000-74999,Other,,Partnered,0
834,18-24,35000-49999,,Part,,1
835,25-34,50000-74999,Other,Self,Seperated,0
836,55-64,35000-49999,Other,None,,0
837,,35000-49999,Male,Full,Seperated,0
838,45-54,50000-74999,Male,Self,Seperated,0
839,18-24,74999-99999,Feamle,None,Single,0
840,,50000-74999,,None,Seperated,1
841,18-24,74999-99999,Male,None,Single,0
842,45-54,0-15000,Non-binary,Self,,0
843,45-54,74999-99999,Non-binary,Part,Seperated,0
844,,35000-49999,Non-binary,Self,Married,1
845,25-34,15000-34999,Feamle,Full,Partnered,0
846,18-24,35000-49999,,Full,Seperated,0
847,18-24,50000-74999,Male,Part,Seperated,0
848,65-100,74999-99999,Other,Student,Married,1
849,35-44,0-15000,Male,Self,Single,0
850,25-34,100000-200000,Feamle,None,Married,0
851,25-34,0-15000,Male,Student,Seperated,1
852,25-34,100000-200000,Feamle,,Married,0
853,55-64,35000-49999,,Self,,0
854,45-54,50000-74999,Other,,Single,1
855,65-100,35000-49999,Other,Part,Married,1
856,,0-15000,Male,Student,Single,1
857,18-24,,Non-binary,None,Single,1
858,25-34,,Feamle,Part,Married,0
859,55-64,50000-74999,Male,Self,Partnered,1
860,55-64,50000-74999,Male,Full,Partnered,0
861,18-24,74999-99999,Other,Full,Partnered,0
862,65-100,100000-200000,Male,Self,,0
863,,35000-49999,Male,Part,Single,1
864,25-34,50000-74999,Other,,Partnered,1
865,65-100,100000-200000,Other,Part,Partnered,1
866,35-44,50000-74999,Feamle,Full,Married,0
867,18-24,35000-49999,Feamle,Part,,0
868,65-100,74999-99999,Male,,Married,1
869,45-54,100000-200000,Other,Self,Single,0
870,65-100,50000-74999,Male,Student,Married,0
871,45-54,74999-99999,,Student,,0
872,18-24,35000-49999,Other,,Partnered,0
873,35-44,35000-49999,Non-binary,Student,Single,0
874,55-64,,Feamle,None,Married,0
875,65-100,35000-49999,,Self,Married,0
876,,0-15000,Other,Self,Married,0
877,25-34,74999-99999,Other,Self,Partnered,0
878,25-34,0-15000,Other,Self,,0
879,18-24,35000-49999,,Full,,0
880,65-100,,Other,,Seperated,1
881,,50000-74999,Feamle,None,Seperated,1
882,,35000-49999,Other,,Married,0
883,,15000-34999,,Part,,0
884,55-64,35000-49999,,None,Partnered,1
885,25-34,35000-49999,Male,,Partnered,1
886,,15000-34999,,None,,1
887,35-44,15000-34999,Other,Part,Seperated,0
888,65-100,100000-200000,Feamle,Self,,1
889,25-34,,Feamle,Self,,0
890,25-34,0-15000,Other,None,,0
891,45-54,15000-34999,Other,Part,Single,0
892,25-34,50000-74999,Non-binary,,Partnered,1
893,25-34,50000-74999,,Self,Seperated,1
894,55-64,50000-74999,Feamle,Full,Single,0
895,18-24,50000-74999,,None,,1
896,18-24,,Male,,Partnered,0
897,18-24,15000-34999,Feamle,None,Partnered,0
898,,74999-99999,Male,None,Single,0
899,25-34,50000-74999,Other,,Single,0
900,45-54,0-15000,Non-binary,None,Married,0
901,,100000-200000,Non-binary,Full,,0
902,65-100,35000-49999,Male,Full,Seperated,1
903,25-34,35000-49999,Non-binary,Self,Single,0
904,45-54,0-15000,Other,Student,Seperated,1
905,45-54,74999-99999,Male,Student,Married,1
906,,74999-99999,Non-binary,Student,Single,0
907,65-100,50000-74999,Non-binary,Part,Married,1
908,65-100,50000-74999,Non-binary,None,Partnered,1
909,45-54,100000-200000,Male,Full,Seperated,1
910,,35000-49999,Feamle,Part,Married,0
911,45-54,15000-34999,Non-binary,Part,Single,0
912,55-64,74999-99999,Non-binary,None,Single,0
913,25-34,35000-49999,Non-binary,,Seperated,0
914,25-34,74999-99999,Other,Full,Single,1
915,,35000-49999,Non-binary,Part,Single,1
916,55-64,50000-74999,Feamle,None,Partnered,0
917,55-64,15000-34999,Feamle,Part,,1
918,45-54,100000-200000,Feamle,Full,Single,0
919,,,Male,Student,Married,0
920,35-44,0-15000,Feamle,,,1
921,35-44,0-15000,Feamle,,Married,0
922,25-34,15000-34999,Other,Full,Single,0
923,45-54,0-15000,Male,Self,Single,0
924,18-24,35000-49999,Other,,Single,1
925,65-100,100000-200000,Other,Full,Single,0
926,65-100,35000-49999,Male,Part,,0
927,65-100,0-15000,Non-binary,,,1
928,25-34,,,Part,,0
929,,50000-74999,Male,None,Partnered,0
930,45-54,,Non-binary,Student,,1
931,65-100,0-15000,Other,Full,,1
932,25-34,0-15000,Other,Full,Married,0
933,65-100,74999-99999,Non-binary,Student,Single,0
934,65-100,15000-34999,Male,None,Married,0
935,45-54,35000-49999,Non-binary,Self,Partnered,0
936,,15000-34999,Other,Full,Married,0
937,18-24,74999-99999,Male,,Single,1
938,,100000-200000,Non-binary,,Married,1
939,45-54,15000-34999,Non-binary,Full,Single,1
940,45-54,35000-49999,Non-binary,Part,Single,0
941,45-54,50000-74999,Feamle,Student,Partnered,1
942,,,Male,Student,Single,0
943,35-44,50000-74999,,,,0
944,35-44,,Male,Full,Partnered,0
945,,35000-49999,Other,Full,,1
946,25-34,35000-49999,Feamle,Self,Partnered,0
947,,35000-49999,Feamle,None,Partnered,0
948,35-44,50000-74999,Male,Student,Seperated,0
949,25-34,50000-74999,Male,,Partnered,1
950,,50000-74999,Other,Part,Seperated,0
951,25-34,35000-49999,Feamle,,Partnered,1
952,55-64,0-15000,,None,Seperated,0
953,25-34,15000-34999,,Full,Partnered,1
954,,0-15000,Non-binary,Part,Partnered,0
955,,15000-34999,Non-binary,None,,1
956,18-24,35000-49999,Feamle,Part,,0
957,18-24,15000-34999,Non-binary,Part,Single,1
958,45-54,0-15000,,Student,,0
959,55-64,50000-74999,Non-binary,Student,Married,1
960,45-54,74999-99999,Non-binary,Student,Seperated,0
961,65-100,74999-99999,Feamle,Full,Seperated,0
962,55-64,100000-200000,,Full,Partnered,1
963,65-100,0-15000,,Full,Partnered,0
964,55-64,35000-49999,Non-binary,,Single,1
965,35-44,15000-34999,Male,None,Married,1
966,65-100,35000-49999,Other,Self,Single,0
967,,0-15000,Feamle,Part,,1
968,18-24,100000-200000,Male,Student,Married,0
969,18-24,100000-200000,Non-binary,Student,Married,0
970,35-44,0-15000,Other,Student,Single,1
971,,0-15000,Male,Full,Partnered,0
972,65-100,50000-74999,,None,Seperated,1
973,55-64,0-15000,Other,Full,Seperated,1
974,35-44,35000-49999,Feamle,,Single,0
975,35-44,50000-74999,Male,Part,Single,0
976,,74999-99999,,Part,Single,0
977,18-24,35000-49999,Feamle,Part,,0
978,55-64,0-15000,Feamle,Self,Single,1
979,,15000-34999,Feamle,Student,Married,0
980,45-54,35000-49999,Feamle,Part,Partnered,0
981,45-54,74999-99999,Non-binary,Full,,1
982,65-100,100000-200000,,Full,Single,0
983,18-24,35000-49999,Male,Part,Married,1
984,35-44,35000-49999,Feamle,,Single,1
985,18-24,35000-49999,Non-binary,Part,Single,1
986,25-34,,Non-binary,Part,Seperated,0
987,65-100,15000-34999,,Self,Seperated,1
988,65-100,100000-200000,,Self,Single,0
989,,100000-200000,Other,Self,Seperated,0
990,65-100,74999-99999,Non-binary,,Single,1
991,25-34,74999-99999,,,Single,0
992,55-64,100000-200000,Non-binary,None,Married,0
993,65-100,,Feamle,Self,Seperated,1
994,25-34,100000-200000,Other,None,Partnered,0
995,35-44,74999-99999,Non-binary,Full,Partnered,0
996,35-44,35000-49999,Other,Full,Seperated,0
997,25-34,35000-49999,Other,None,Married,1
998,35-44,74999-99999,Male,Part,,0
999,55-64,50000-74999,,,Single,0
1000,55-64,0-15000,Non-binary,Full,Seperated,0
